,"z3legacy","{0} smt.arith.solver=2",,,,,,
,"RV 11751","T_norm 11751","T_cpu 11751","T_wc 11751","# SAT 11751","# UNSAT 11751","# UNKNOWN 11751",
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-60/c60_problem__004.smt2.slack.smt2",,941.494149414941,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-60/c60_problem__005.smt2.slack.smt2",0,11.4783926144087,12.109,12.618,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-60/c60_problem__006.smt2.slack.smt2",0,0.135295943708609,0.156,0.226,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__002.smt2.slack.smt2",,911.944202266783,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__003.smt2.slack.smt2",0,1.9639968487395,2.234,2.428,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__004.smt2.slack.smt2",,921.180096873624,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__005.smt2.slack.smt2",0,6.47704755614267,7.031,7.357,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__006.smt2.slack.smt2",0,11.0434483488569,12.469,13.034,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__002.smt2.slack.smt2",0,0.121917737256527,0.141,0.246,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__003.smt2.slack.smt2",0,11.9537264756202,13.359,15.38,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__004.smt2.slack.smt2",0,7.82406236831016,8.875,9.295,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__005.smt2.slack.smt2",0,11.1273697916667,12.766,13.342,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__006.smt2.slack.smt2",0,1.76689189189189,2.063,2.237,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__002.smt2.slack.smt2",0,8.03242320819113,9,9.426,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__003.smt2.slack.smt2",0,363.423110064338,378.016,393.395,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__004.smt2.slack.smt2",0,0.0702654772141015,0.078,0.188,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__005.smt2.slack.smt2",0,0.0675082610491533,0.078,0.206,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__006.smt2.slack.smt2",,979.859484777518,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__001.smt2.slack.smt2",0,0.0442720090293454,0.047,0.364,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__002.smt2.slack.smt2",0,0.0279738981600342,0.031,0.143,1,0,0,
