,"z3","{0}",,,,,,
,"RV 11745","T_norm 11745","T_cpu 11745","T_wc 11745","# SAT 11745","# UNSAT 11745","# UNKNOWN 11745",
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-60/c60_problem__004.smt2.slack.smt2",,982.159624413145,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-60/c60_problem__005.smt2.slack.smt2",0,1.08046548117155,1.234,1.383,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-60/c60_problem__006.smt2.slack.smt2",0,0.0712456408020924,0.078,0.186,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__002.smt2.slack.smt2",0,6.1395652173913,6.75,7.089,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__003.smt2.slack.smt2",0,4.65955723542117,5.156,5.453,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__004.smt2.slack.smt2",0,28.9470004269855,32.406,33.741,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__005.smt2.slack.smt2",0,0.071028900478053,0.078,0.187,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__006.smt2.slack.smt2",0,10.0996326449563,12.156,12.681,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__002.smt2.slack.smt2",0,27.8718106995885,32.375,33.646,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__003.smt2.slack.smt2",0,10.733011914378,12.703,13.283,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__004.smt2.slack.smt2",0,0.975507583170254,0.953,1.113,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__005.smt2.slack.smt2",0,0.0828580481622307,0.094,0.183,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__006.smt2.slack.smt2",0,4.63593418259023,5.219,5.506,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__002.smt2.slack.smt2",0,3.00036842105263,3.406,3.632,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__003.smt2.slack.smt2",0,0.0852717391304348,0.094,0.241,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__004.smt2.slack.smt2",0,0.0984139784946237,0.109,0.196,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__005.smt2.slack.smt2",0,0.0919664389067524,0.109,0.21,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__006.smt2.slack.smt2",0,0.216473509933775,0.25,0.414,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__001.smt2.slack.smt2",0,0.0419070512820513,0.047,0.29,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__002.smt2.slack.smt2",0,0.0406560945273632,0.047,0.134,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__003.smt2.slack.smt2",0,0.0287489006156552,0.031,0.135,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__005.smt2.slack.smt2",0,0.038744567364678,0.047,0.185,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__006.smt2.slack.smt2",0,0.0286732456140351,0.031,0.135,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__007.smt2.slack.smt2",0,0.0411163522012579,0.047,0.131,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__008.smt2.slack.smt2",0,0.0135971297836938,0.016,1.189,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__009.smt2.slack.smt2",0,0.0135745431893688,0.016,0.141,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__010.smt2.slack.smt2",0,0.043066534914361,0.047,0.149,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__012.smt2.slack.smt2",0,0.0275495153813738,0.031,0.148,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__013.smt2.slack.smt2",0,0.0417998721227621,0.047,0.16,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__014.smt2.slack.smt2",0,0.0139749893116717,0.016,0.128,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__015.smt2.slack.smt2",0,0.0406392457521757,0.047,0.131,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__016.smt2.slack.smt2",0,0.030954071969697,0.031,0.115,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__017.smt2.slack.smt2",0,0.0284610361340879,0.031,0.136,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__018.smt2.slack.smt2",0,0.0305347968239141,0.031,0.135,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__019.smt2.slack.smt2",0,0.0140773040482343,0.016,0.141,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__020.smt2.slack.smt2",0,0.042991012713722,0.047,0.133,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__021.smt2.slack.smt2",0,0.0145342374388617,0.016,0.138,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__022.smt2.slack.smt2",0,0.028251944684529,0.031,0.142,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__023.smt2.slack.smt2",0,0.0273192645215211,0.031,0.189,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__024.smt2.slack.smt2",0,0.0443521031207598,0.047,0.151,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__025.smt2.slack.smt2",0,0.0279141759180188,0.031,1.295,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__026.smt2.slack.smt2",0,0.0272055763628797,0.031,0.15,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__027.smt2.slack.smt2",0,0.041924967935015,0.047,0.418,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__028.smt2.slack.smt2",0,0.026233948635634,0.031,0.154,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__029.smt2.slack.smt2",0,0.0139036580178647,0.016,0.142,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__030.smt2.slack.smt2",0,0.0678163900414938,0.078,0.197,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__031.smt2.slack.smt2",0,0.0404214756801319,0.047,0.194,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__032.smt2.slack.smt2",0,0.0140955153083226,0.016,0.143,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__034.smt2.slack.smt2",0,0.0277012711864407,0.031,0.146,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__035.smt2.slack.smt2",0,0.0286858271171566,0.031,0.202,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__001.smt2.slack.smt2",0,0.037032666163142,0.047,0.167,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__002.smt2.slack.smt2",0,0.0278073160357295,0.031,0.147,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__003.smt2.slack.smt2",0,0.0281667384747953,0.031,0.136,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__004.smt2.slack.smt2",0,0.0131592190016103,0.016,0.152,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__005.smt2.slack.smt2",0,0.0275611298482293,0.031,0.127,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__006.smt2.slack.smt2",0,0.0295814479638009,0.031,0.147,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__007.smt2.slack.smt2",0,0.0556382978723404,0.063,0.135,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__008.smt2.slack.smt2",0,0.0422319121447028,0.047,0.094,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__009.smt2.slack.smt2",0,0.0309687351965893,0.031,0.127,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__010.smt2.slack.smt2",0,0.0275960320810469,0.031,0.127,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__011.smt2.slack.smt2",0,0.0378108733371891,0.031,0.103,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__012.smt2.slack.smt2",0,0.026076984443558,0.031,0.155,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__013.smt2.slack.smt2",0,0.0274454240134341,0.031,0.148,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__014.smt2.slack.smt2",0,0.0487327618337682,0.063,0.181,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__015.smt2.slack.smt2",0,0.0433329650905877,0.047,0.157,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__016.smt2.slack.smt2",0,0.0433521220159151,0.047,0.149,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__017.smt2.slack.smt2",0,0.042803360977739,0.047,0.198,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__018.smt2.slack.smt2",0,0.0421049806784028,0.047,0.193,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__019.smt2.slack.smt2",0,0.0289397963700753,0.031,0.142,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__020.smt2.slack.smt2",0,0.0278547081380486,0.031,0.137,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__021.smt2.slack.smt2",0,0.0421592863284609,0.047,0.157,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__022.smt2.slack.smt2",0,0.0436609528049866,0.047,0.167,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__023.smt2.slack.smt2",0,0.0557569296375267,0.063,0.132,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__024.smt2.slack.smt2",0,0.0278309919114517,0.031,0.137,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__025.smt2.slack.smt2",0,0.0140773040482343,0.016,0.086,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__026.smt2.slack.smt2",0,0.0140530954428203,0.016,0.14,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__027.smt2.slack.smt2",0,0.0588698784331382,0.063,0.133,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__028.smt2.slack.smt2",0,0.0141137737478411,0.016,0.136,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__029.smt2.slack.smt2",0,0.0296485260770975,0.031,0.128,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__030.smt2.slack.smt2",0,0.02776008492569,0.031,0.145,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__031.smt2.slack.smt2",0,0.0272623019182652,0.031,0.152,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__032.smt2.slack.smt2",0,0.0687578880942364,0.078,0.148,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__033.smt2.slack.smt2",0,0.0455680762081784,0.047,0.154,0,1,0,
