,"smt.arith.nl.incremental_linearization=false","-file:{0} smt.arith.nl.incremental_linearization=false",,,,,,
,"RV 11691","T_norm 11691","T_cpu 11691","T_wc 11691","# SAT 11691","# UNSAT 11691","# UNKNOWN 11691",
"QF_NIA_small\1582.smt2",0,0.0609273066169618,0.063,0.167,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0691652560304697,0.078,1.221,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0540512608515916,0.063,0.129,1,0,0,
"QF_NIA_small\1607.smt2",,966.281755196305,1000,1000,0,0,0,
"QF_NIA_small\1631.smt2",0,0.0930132113821138,0.109,0.222,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0697258959044369,0.078,1.275,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0870505992010652,0.094,0.251,1,0,0,
"QF_NIA_small\1648.smt2",0,1.70460471422612,1.953,2.131,0,1,0,
"QF_NIA_small\1649.smt2",0,0.899784946236559,1,1.162,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0822671979865772,0.094,0.198,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0722854931446263,0.078,0.219,1,0,0,
"QF_NIA_small\167.smt2",0,0.0435252996005326,0.047,0.163,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0913058659217877,0.094,0.152,1,0,0,
"QF_NIA_small\1689.smt2",0,27.2636536573392,26.547,27.613,1,0,0,
"QF_NIA_small\1693.smt2",0,0.085606721955478,0.094,0.729,1,0,0,
"QF_NIA_small\1728.smt2",,918.752744839701,1000,1000,0,0,0,
"QF_NIA_small\1734.smt2",0,0.0560197086546701,0.063,0.149,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0597577696526508,0.063,0.558,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0605324074074074,0.063,0.137,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0739201718679331,0.078,0.183,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0783121705797796,0.078,0.119,1,0,0,
"QF_NIA_small\177.smt2",,863.392488650433,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.101468957871397,0.109,0.134,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0551222596964587,0.063,0.204,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0725421660008877,0.078,0.368,1,0,0,
"QF_NIA_small\179.smt2",0,0.0431613116197183,0.047,0.278,1,0,0,
"QF_NIA_small\1794.smt2",0,0.072833110516934,0.078,0.142,1,0,0,
"QF_NIA_small\1805.smt2",0,0.317488386824324,0.359,0.497,0,1,0,
"QF_NIA_small\1809.smt2",0,0.733053007135577,0.688,0.995,0,1,0,
"QF_NIA_small\181.smt2",,843.208383716243,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,852.485737571312,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,1021.98339032731,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,875.313807531381,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0685847671002938,0.078,0.143,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0630545910493827,0.078,0.129,1,0,0,
"QF_NIA_small\1858.smt2",0,0.071448087431694,0.063,0.19,1,0,0,
"QF_NIA_small\187.smt2",0,0.0794349939246658,0.094,0.266,1,0,0,
"QF_NIA_small\1884.smt2",0,0.233244138634047,0.219,0.289,1,0,0,
"QF_NIA_small\1895.smt2",0,82.3135597601323,95.141,98.878,1,0,0,
"QF_NIA_small\1898.smt2",0,78.3949308062575,93.422,97.152,1,0,0,
"QF_NIA_small\1901.smt2",0,161.658496053178,186,193.229,1,0,0,
"QF_NIA_small\1917.smt2",0,1.81437224669604,1.969,2.166,1,0,0,
"QF_NIA_small\192.smt2",0,0.0665733197556008,0.078,0.133,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0521956087824351,0.063,0.157,1,0,0,
"QF_NIA_small\1933.smt2",0,1.10105263157895,1.25,1.414,1,0,0,
"QF_NIA_small\1934.smt2",0,1.3344967151572,1.359,1.478,0,1,0,
"QF_NIA_small\199.smt2",,885.315277190013,1000,1000,0,0,0,
"QF_NIA_small\20.smt2",,901.724137931034,1000,1000,0,0,0,
"QF_NIA_small\203.smt2",0,6.78748888394842,7.297,7.572,1,0,0,
"QF_NIA_small\211.smt2",0,11.9316009810555,16.859,17.577,1,0,0,
"QF_NIA_small\23.smt2",0,7.06141114982578,7.75,8.025,1,0,0,
"QF_NIA_small\250.smt2",0,0.0282153646957272,0.031,0.134,1,0,0,
"QF_NIA_small\257.smt2",0,0.0533891384238465,0.063,0.153,1,0,0,
"QF_NIA_small\264.smt2",,939.802336028751,1000,1000,0,0,0,
"QF_NIA_small\269.smt2",,876.781223805532,1000,1000,0,0,0,
"QF_NIA_small\281.smt2",0,0.0560197086546701,0.063,0.202,1,0,0,
"QF_NIA_small\307.smt2",0,57.8992320598864,53.609,55.843,1,0,0,
"QF_NIA_small\310.smt2",0,202.185893383902,229.344,238.55,1,0,0,
"QF_NIA_small\322.smt2",0,0.210887096774194,0.234,0.275,1,0,0,
"QF_NIA_small\34.smt2",0,46.9771174863388,53.422,55.53,1,0,0,
"QF_NIA_small\35.smt2",,872.757613683771,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0681273447269696,0.078,0.122,1,0,0,
"QF_NIA_small\364.smt2",0,0.0558760683760684,0.063,0.203,1,0,0,
"QF_NIA_small\367.smt2",0,0.0393667201926937,0.047,0.295,1,0,0,
"QF_NIA_small\370.smt2",0,0.0695182900893237,0.078,0.15,1,0,0,
"QF_NIA_small\377.smt2",0,0.0704775765416128,0.078,0.14,1,0,0,
"QF_NIA_small\40.smt2",,914.335664335664,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",,883.445945945946,1000,1000,0,0,0,
"QF_NIA_small\424.smt2",0,25.7626113477924,31.797,33.096,1,0,0,
"QF_NIA_small\443.smt2",0,0.0895898590446359,0.109,0.173,1,0,0,
"QF_NIA_small\449.smt2",,833.798326026305,1000,1000,0,0,0,
"QF_NIA_small\455.smt2",0,0.114391951006124,0.125,0.232,1,0,0,
"QF_NIA_small\460.smt2",,935.181046043809,1000,1000,0,0,0,
"QF_NIA_small\466.smt2",0,0.0865894039735099,0.094,0.203,1,0,0,
"QF_NIA_small\485.smt2",0,33.96435546875,35.328,36.759,1,0,0,
"QF_NIA_small\496.smt2",0,0.0428969816272966,0.047,0.193,1,0,0,
"QF_NIA_small\498.smt2",,985.862393967955,1000,1000,0,0,0,
"QF_NIA_small\500.smt2",,889.077773055674,1000,1000,0,0,0,
"QF_NIA_small\507.smt2",0,0.0267820565342073,0.031,0.112,1,0,0,
"QF_NIA_small\514.smt2",,836.131095123901,1000,1000,0,0,0,
"QF_NIA_small\520.smt2",0,0.041817697228145,0.047,0.156,1,0,0,
"QF_NIA_small\527.smt2",,875.680200920887,1000,1000,0,0,0,
"QF_NIA_small\535.smt2",,845.594179466451,1000,1000,0,0,0,
"QF_NIA_small\54.smt2",,880.100967606226,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",,859.137577002053,1000,1000,0,0,0,
"QF_NIA_small\551.smt2",0,0.0758997678018576,0.094,0.156,1,0,0,
"QF_NIA_small\572.smt2",0,254.507671931228,304.266,316.397,1,0,0,
"QF_NIA_small\573.smt2",,973.929236499069,1000,1000,0,0,0,
"QF_NIA_small\574.smt2",,879.73086627418,1000,1000,0,0,0,
"QF_NIA_small\58.smt2",,911.149825783972,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,7.66832636443662,8.328,8.817,1,0,0,
"QF_NIA_small\586.smt2",0,9.71717588769612,11.25,11.709,0,1,0,
"QF_NIA_small\599.smt2",0,0.179829665679221,0.203,0.228,1,0,0,
"QF_NIA_small\604.smt2",0,1.18863636363636,1.219,1.321,0,1,0,
"QF_NIA_small\624.smt2",0,0.0764441066417212,0.078,0.144,1,0,0,
"QF_NIA_small\625.smt2",,893.253629376601,1000,1000,0,0,0,
"QF_NIA_small\65.smt2",,852.485737571312,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",,923.620309050773,1000,1000,0,0,0,
"QF_NIA_small\673.smt2",0,24.8453362255965,27.375,28.543,1,0,0,
"QF_NIA_small\677.smt2",0,211.181781975421,221.781,231.634,1,0,0,
"QF_NIA_small\701.smt2",0,0.0580337328007102,0.063,0.248,1,0,0,
"QF_NIA_small\706.smt2",,899.398108340499,1000,1000,0,0,0,
"QF_NIA_small\707.smt2",,889.077773055674,1000,1000,0,0,0,
"QF_NIA_small\709.smt2",0,0.0406392457521757,0.047,0.102,1,0,0,
"QF_NIA_small\711.smt2",,915.936952714536,1000,1000,0,0,0,
"QF_NIA_small\722.smt2",0,0.0564063848144953,0.063,0.106,1,0,0,
"QF_NIA_small\73.smt2",,864.462809917355,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0398790158601057,0.047,0.11,1,0,0,
"QF_NIA_small\74.smt2",0,0.0405384456386937,0.047,0.187,1,0,0,
"QF_NIA_small\75.smt2",,903.671706263499,1000,1000,0,0,0,
"QF_NIA_small\750.smt2",,844.229217110573,1000,1000,0,0,0,
"QF_NIA_small\781.smt2",0,0.0684411641541039,0.078,0.126,1,0,0,
"QF_NIA_small\788.smt2",0,0.0546613712374582,0.063,0.126,1,0,0,
"QF_NIA_small\798.smt2",,880.100967606226,1000,1000,0,0,0,
"QF_NIA_small\808.smt2",0,0.0558760683760684,0.063,0.275,1,0,0,
"QF_NIA_small\821.smt2",0,21.9416497975709,25.906,26.922,1,0,0,
"QF_NIA_small\824.smt2",,819.74921630094,1000,1000,0,0,0,
"QF_NIA_small\828.smt2",0,0.0727035142348754,0.078,0.145,1,0,0,
"QF_NIA_small\83.smt2",0,2.08200636942675,2.344,2.47,0,1,0,
