,"smt.arith.nl.divisions_check=false","-file:{0} smt.arith.nl.divisions_check=false",,,,,,
,"RV 11682","T_norm 11682","T_cpu 11682","T_wc 11682","# SAT 11682","# UNSAT 11682","# UNKNOWN 11682",
"QF_NIA_small\1567.smt2",0,0.0699048331907613,0.078,0.179,1,0,0,
"QF_NIA_small\1574.smt2",0,119.625396728516,117.109,121.741,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0821638039379975,0.094,0.18,1,0,0,
"QF_NIA_small\1586.smt2",0,0.11254918839154,0.109,0.179,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0825441919191919,0.094,0.212,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0652445109780439,0.078,0.202,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0590293453724605,0.063,0.168,1,0,0,
"QF_NIA_small\1640.smt2",0,0.100005463286713,0.109,0.18,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0797580317202115,0.094,0.246,1,0,0,
"QF_NIA_small\1648.smt2",0,1.62318065068493,1.813,2.034,0,1,0,
"QF_NIA_small\1649.smt2",0,1.01976180438449,1.156,1.385,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0646509098101266,0.078,0.212,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0818210262828536,0.094,0.207,1,0,0,
"QF_NIA_small\167.smt2",0,0.0397658150851582,0.047,0.184,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0815488565488565,0.094,0.206,1,0,0,
"QF_NIA_small\1689.smt2",0,24.2910855537052,27.891,29.042,1,0,0,
"QF_NIA_small\1693.smt2",0,0.0797580317202115,0.094,0.238,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0780131264916468,0.078,0.171,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0574472759226714,0.063,0.195,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0789553140096618,0.078,0.187,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0433329650905877,0.047,0.159,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0813526630164261,0.078,0.17,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0709364149305556,0.078,0.197,1,0,0,
"QF_NIA_small\177.smt2",,878.991596638655,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0681841885690446,0.078,0.166,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0529138000809389,0.063,0.195,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0804450369155045,0.094,0.203,1,0,0,
"QF_NIA_small\179.smt2",0,0.0721897084805654,0.078,0.164,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0680139409071993,0.078,0.209,1,0,0,
"QF_NIA_small\1805.smt2",0,0.307844606164384,0.344,0.536,0,1,0,
"QF_NIA_small\1809.smt2",0,0.653169404973357,0.703,0.909,0,1,0,
"QF_NIA_small\181.smt2",,850.060950832995,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,913.138367525098,1000,1000,0,0,0,
