,"smt.arith.nl.branching=false","-file:{0} smt.arith.nl.branching=false",,,,,,
,"RV 11681","T_norm 11681","T_cpu 11681","T_wc 11681","# SAT 11681","# UNSAT 11681","# UNKNOWN 11681",
"QF_NIA_small\1574.smt2",0,102.571637259395,106.984,111.28,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0528069466882068,0.063,0.16,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0938397129186603,0.094,0.201,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0832449066213922,0.094,0.218,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0816847147022074,0.094,0.219,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0808762886597938,0.094,0.224,1,0,0,
"QF_NIA_small\1640.smt2",0,0.106128246753247,0.109,0.241,1,0,0,
"QF_NIA_small\1644.smt2",0,0.130056366047745,0.141,0.223,1,0,0,
"QF_NIA_small\1648.smt2",0,1.75465367965368,1.938,2.145,0,1,0,
"QF_NIA_small\1649.smt2",0,1.06503921962993,1.266,1.509,0,1,0,
"QF_NIA_small\1662.smt2",0,0.128298081116441,0.141,0.253,1,0,0,
"QF_NIA_small\1668.smt2",0,0.129046585076984,0.156,0.272,1,0,0,
"QF_NIA_small\167.smt2",0,0.0724457003546099,0.078,0.193,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0679573804573805,0.078,0.184,1,0,0,
"QF_NIA_small\1689.smt2",0,24.1183810763889,26.563,27.618,1,0,0,
"QF_NIA_small\1693.smt2",0,0.246034946236559,0.219,0.363,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0704775765416128,0.078,0.209,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0491049073610416,0.047,0.132,1,0,0,
"QF_NIA_small\1741.smt2",0,0.122680358632193,0.141,0.21,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0678727159468439,0.078,0.185,1,0,0,
"QF_NIA_small\1767.smt2",0,0.111181972789116,0.141,0.262,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0818893528183716,0.094,0.224,1,0,0,
"QF_NIA_small\177.smt2",,837.469975980785,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.119899128839982,0.125,0.224,1,0,0,
"QF_NIA_small\1776.smt2",0,0.150130480167015,0.172,0.278,1,0,0,
"QF_NIA_small\1785.smt2",0,0.130924566088118,0.141,0.223,1,0,0,
"QF_NIA_small\179.smt2",0,0.0435639715681919,0.047,0.166,1,0,0,
"QF_NIA_small\1794.smt2",0,0.131804435483871,0.156,0.243,1,0,0,
"QF_NIA_small\1805.smt2",0,0.310128083491461,0.313,0.49,0,1,0,
"QF_NIA_small\1809.smt2",0,0.639364303178484,0.75,0.933,0,1,0,
"QF_NIA_small\181.smt2",,912.739965095986,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,860.55121349239,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,865.535788167149,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,939.802336028751,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.114844093104963,0.125,0.92,1,0,0,
"QF_NIA_small\1852.smt2",0,0.104767628205128,0.125,1.298,1,0,0,
"QF_NIA_small\1858.smt2",0,0.107216072160722,0.125,0.216,1,0,0,
"QF_NIA_small\187.smt2",0,0.0719038715354157,0.078,0.233,1,0,0,
"QF_NIA_small\1884.smt2",0,0.212059777571826,0.219,0.402,1,0,0,
"QF_NIA_small\1895.smt2",0,81.8698984720547,97.328,101.15,1,0,0,
"QF_NIA_small\1898.smt2",0,77.4672385620915,84.984,88.2,1,0,0,
"QF_NIA_small\1901.smt2",0,162.439077025232,175.406,182.383,1,0,0,
"QF_NIA_small\1917.smt2",0,0.132822023567655,0.156,0.283,1,0,0,
"QF_NIA_small\192.smt2",0,0.0694002123142251,0.078,0.117,1,0,0,
"QF_NIA_small\1924.smt2",0,0.10947966507177,0.109,0.209,1,0,0,
"QF_NIA_small\1933.smt2",0,1.24379350348028,1.281,1.479,1,0,0,
"QF_NIA_small\1934.smt2",0,1.34159222597779,1.328,1.479,0,1,0,
"QF_NIA_small\199.smt2",0,0.324710264900662,0.375,0.589,1,0,0,
"QF_NIA_small\20.smt2",0,1.79881930184805,2.094,2.272,1,0,0,
"QF_NIA_small\203.smt2",0,6.83660130718954,7.5,7.827,1,0,0,
"QF_NIA_small\211.smt2",0,12.797849127182,14.719,15.32,1,0,0,
"QF_NIA_small\23.smt2",0,6.83144254787677,7.844,8.148,1,0,0,
"QF_NIA_small\250.smt2",0,0.0712456408020924,0.078,0.191,1,0,0,
"QF_NIA_small\257.smt2",0,0.100621152154793,0.109,0.195,1,0,0,
"QF_NIA_small\264.smt2",0,0.0886641048824593,0.094,0.224,1,0,0,
"QF_NIA_small\269.smt2",0,0.144555002763958,0.125,0.207,1,0,0,
"QF_NIA_small\281.smt2",0,0.0963015572390572,0.109,0.237,1,0,0,
"QF_NIA_small\307.smt2",0,55.6644874476987,63.594,66.158,1,0,0,
"QF_NIA_small\310.smt2",0,205.324830316742,216.906,225.613,1,0,0,
"QF_NIA_small\322.smt2",0,0.0627399232245681,0.063,0.16,1,0,0,
"QF_NIA_small\34.smt2",0,46.6394817073171,49.359,51.32,1,0,0,
"QF_NIA_small\35.smt2",,928.539724811363,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0538287361053932,0.063,0.173,1,0,0,
"QF_NIA_small\364.smt2",0,0.0458450210378682,0.047,0.159,1,0,0,
