,"yices2","{0}",,,,,,
,"RV 11750","T_norm 11750","T_cpu 11750","T_wc 11750","# SAT 11750","# UNSAT 11750","# UNKNOWN 11750",
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__016.smt2.slack.smt2",,827.85912148793,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__017.smt2.slack.smt2",,890.212765957447,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__018.smt2.slack.smt2",,1133.26110509209,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__019.smt2.slack.smt2",,878.253568429891,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__020.smt2.slack.smt2",,926.894107221976,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__021.smt2.slack.smt2",,882.700421940928,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__022.smt2.slack.smt2",0,0.01,0,0.046,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__023.smt2.slack.smt2",,937.696100403407,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__024.smt2.slack.smt2",,904.844290657439,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__025.smt2.slack.smt2",,862.324814509481,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__026.smt2.slack.smt2",,913.53711790393,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__027.smt2.slack.smt2",,886.440677966102,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__028.smt2.slack.smt2",,930.604982206406,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__029.smt2.slack.smt2",,896.699528504072,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__030.smt2.slack.smt2",,866.970576046415,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__031.smt2.slack.smt2",,872.757613683771,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__032.smt2.slack.smt2",,876.781223805532,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__033.smt2.slack.smt2",,906.019922044175,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__034.smt2.slack.smt2",,1088.44953173777,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__035.smt2.slack.smt2",,936.017897091723,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__001.smt2.slack.smt2",0,0.0136596322607606,0.016,0.043,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__002.smt2.slack.smt2",0,0.0132284500202347,0.016,0.047,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__003.smt2.slack.smt2",0,0.01,0,0.084,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__004.smt2.slack.smt2",0,0.01,0,0.068,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__005.smt2.slack.smt2",0,0.041817697228145,0.047,0.1,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__006.smt2.slack.smt2",0,0.01,0,0.059,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__007.smt2.slack.smt2",0,0.0292767577250336,0.031,0.093,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__008.smt2.slack.smt2",0,0.0268370279146141,0.031,0.064,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__009.smt2.slack.smt2",0,0.0136197916666667,0.016,0.051,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__010.smt2.slack.smt2",0,79.4330611573871,86.609,90.198,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__011.smt2.slack.smt2",,913.53711790393,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__012.smt2.slack.smt2",0,0.0127985512920908,0.016,0.064,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__013.smt2.slack.smt2",0,247.891060756972,297.422,310.19,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__014.smt2.slack.smt2",,860.55121349239,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__015.smt2.slack.smt2",,933.51182507809,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__016.smt2.slack.smt2",,1014.54898157129,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__017.smt2.slack.smt2",0,268.113153431764,321.172,333.469,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__018.smt2.slack.smt2",0,0.0276543993231811,0.031,0.142,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__019.smt2.slack.smt2",,900.172117039587,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__020.smt2.slack.smt2",0,0.120272894521668,0.141,0.204,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__021.smt2.slack.smt2",,913.138367525098,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__022.smt2.slack.smt2",,855.273916598528,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__023.smt2.slack.smt2",,905.627705627706,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__024.smt2.slack.smt2",,858.784893267652,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__025.smt2.slack.smt2",,1071.72131147541,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__026.smt2.slack.smt2",,885.690093141406,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__027.smt2.slack.smt2",,813.691170750681,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__028.smt2.slack.smt2",,859.843814221126,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__029.smt2.slack.smt2",0,0.155778395552025,0.188,0.247,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__030.smt2.slack.smt2",,885.315277190013,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__031.smt2.slack.smt2",,898.625429553265,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__032.smt2.slack.smt2",0,0.0992248482220295,0.109,0.226,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__033.smt2.slack.smt2",,909.169926119079,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__034.smt2.slack.smt2",,999.044890162369,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__035.smt2.slack.smt2",,947.463768115942,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__001.smt2.slack.smt2",0,17.1664965986395,18.094,18.817,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__002.smt2.slack.smt2",0,0.0498791963377416,0.047,0.079,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__003.smt2.slack.smt2",0,0.0153678890456041,0.016,0.055,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__004.smt2.slack.smt2",0,2.5043429844098,2.688,2.78,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__005.smt2.slack.smt2",0,0.0139809666381523,0.016,0.129,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__006.smt2.slack.smt2",0,0.0146844115004492,0.016,0.072,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__007.smt2.slack.smt2",0,3.48009159482758,3.859,3.978,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__008.smt2.slack.smt2",0,89.6617829719964,94.891,98.743,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__009.smt2.slack.smt2",0,0.01,0,0.956,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__010.smt2.slack.smt2",0,0.01,0,0.049,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__011.smt2.slack.smt2",0,0.01,0,0.036,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__012.smt2.slack.smt2",,925.663716814159,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__013.smt2.slack.smt2",0,105.249113475177,113.5,118.83,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__014.smt2.slack.smt2",,895.164741121095,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__015.smt2.slack.smt2",0,0.0162462723658052,0.016,0.044,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__016.smt2.slack.smt2",,936.436884512086,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__017.smt2.slack.smt2",,905.235828645608,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__018.smt2.slack.smt2",,891.730605285592,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__019.smt2.slack.smt2",,901.724137931034,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__020.smt2.slack.smt2",,905.235828645608,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__021.smt2.slack.smt2",,882.700421940928,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__022.smt2.slack.smt2",,909.169926119079,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__023.smt2.slack.smt2",,810.852713178294,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__024.smt2.slack.smt2",,860.197368421053,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__025.smt2.slack.smt2",,888.322717622081,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__026.smt2.slack.smt2",,940.224719101124,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__027.smt2.slack.smt2",,865.894039735099,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__028.smt2.slack.smt2",0,0.296485260770975,0.313,0.388,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__029.smt2.slack.smt2",,848.337388483374,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__030.smt2.slack.smt2",0,0.193908898305085,0.219,0.278,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__031.smt2.slack.smt2",,871.666666666667,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__032.smt2.slack.smt2",0,0.0434866962305987,0.047,0.07,1,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__033.smt2.slack.smt2",,949.183303085299,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__034.smt2.slack.smt2",,880.842105263158,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__035.smt2.slack.smt2",,892.872385830132,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_01_001.smt2.slack.smt2",0,0.0144443216968626,0.016,0.065,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_001.smt2.slack.smt2",0,0.01,0,0.045,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_003.smt2.slack.smt2",0,0.01,0,0.07,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_005.smt2.slack.smt2",0,0.01,0,0.045,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_008.smt2.slack.smt2",0,0.01,0,0.045,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_009.smt2.slack.smt2",0,0.01,0,0.054,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_010.smt2.slack.smt2",0,0.01,0,0.072,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_001.smt2.slack.smt2",0,0.134447300771208,0.125,0.161,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_002.smt2.slack.smt2",0,0.0702654772141015,0.078,0.144,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_003.smt2.slack.smt2",0,0.0812111801242236,0.094,0.157,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_004.smt2.slack.smt2",0,0.12926347009392,0.125,0.259,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_005.smt2.slack.smt2",0,0.418355375426621,0.469,0.663,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_006.smt2.slack.smt2",0,1.47502014504432,1.75,1.823,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_007.smt2.slack.smt2",0,0.0978249251817016,0.109,0.172,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_008.smt2.slack.smt2",0,0.0281546080964686,0.031,0.059,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_009.smt2.slack.smt2",0,0.0856441048034934,0.094,0.214,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_010.smt2.slack.smt2",0,0.910710458636948,1.016,1.09,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_011.smt2.slack.smt2",0,0.443356966707768,0.516,0.613,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_012.smt2.slack.smt2",0,0.01,0,0.046,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_013.smt2.slack.smt2",0,6.78098718462155,8.094,8.538,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_014.smt2.slack.smt2",0,2.50763781804163,3.109,3.22,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_001.smt2.slack.smt2",0,0.0154917061611374,0.016,0.082,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_002.smt2.slack.smt2",0,0.01,0,0.037,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_003.smt2.slack.smt2",0,0.01,0,1.03,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_004.smt2.slack.smt2",0,0.01,0,0.03,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_005.smt2.slack.smt2",0,0.0125383582662064,0.016,0.038,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_006.smt2.slack.smt2",0,0.0135239966901117,0.016,0.05,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_008.smt2.slack.smt2",0,0.01,0,0.123,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_009.smt2.slack.smt2",0,0.01,0,1.104,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_001.smt2.slack.smt2",0,0.0317200388161087,0.031,0.077,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_002.smt2.slack.smt2",0,0.0275031552376946,0.031,0.137,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_003.smt2.slack.smt2",0,0.0142119565217391,0.016,0.775,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_004.smt2.slack.smt2",0,0.0281546080964686,0.031,0.039,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_005.smt2.slack.smt2",0,0.0285480349344978,0.031,0.165,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_006.smt2.slack.smt2",0,0.0146318263205013,0.016,0.07,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_007.smt2.slack.smt2",0,0.0433521220159151,0.047,0.158,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_008.smt2.slack.smt2",0,0.01,0,0.055,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_010.smt2.slack.smt2",0,0.0134240246406571,0.016,0.117,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_011.smt2.slack.smt2",0,0.0297564861174329,0.031,0.059,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_012.smt2.slack.smt2",0,0.295814479638009,0.344,0.461,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_013.smt2.slack.smt2",0,0.01,0,0.126,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_014.smt2.slack.smt2",0,0.0454413809082484,0.047,0.1,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_001.smt2.slack.smt2",,949.614162505674,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_002.smt2.slack.smt2",0,12.4638858695652,13.703,14.289,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_003.smt2.slack.smt2",0,92.3611918604651,102.516,106.664,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_004.smt2.slack.smt2",0,171.211440217391,188.234,195.935,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_005.smt2.slack.smt2",0,2.20822222222222,2.375,2.479,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_006.smt2.slack.smt2",,886.065226598899,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_007.smt2.slack.smt2",0,11.1668030104712,12.234,12.761,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_008.smt2.slack.smt2",0,0.0138447691656078,0.016,0.052,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_009.smt2.slack.smt2",0,3.08474751655629,3.563,3.68,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_010.smt2.slack.smt2",0,1.87494727962885,2.125,2.201,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_011.smt2.slack.smt2",0,16.4718804442509,18.078,18.762,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_012.smt2.slack.smt2",,912.739965095986,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_013.smt2.slack.smt2",0,9.4574546604808,10.719,11.147,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_014.smt2.slack.smt2",0,0.0416578164825828,0.047,0.113,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_015.smt2.slack.smt2",0,0.01,0,0.054,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_016.smt2.slack.smt2",0,0.318619849357554,0.344,0.48,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_001.smt2.slack.smt2",0,776.839304841474,866.703,901.985,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_002.smt2.slack.smt2",0,3.32984813084112,3.406,3.547,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_003.smt2.slack.smt2",0,3.9045601291364,4.625,4.792,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_004.smt2.slack.smt2",0,15.351683650864,16.563,17.334,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_005.smt2.slack.smt2",0,0.346030245746692,0.438,0.48,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_006.smt2.slack.smt2",0,1.64799479166667,1.891,1.98,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_007.smt2.slack.smt2",0,40.6193515589697,42.969,44.694,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_008.smt2.slack.smt2",0,1.2982678729038,1.406,1.598,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_009.smt2.slack.smt2",0,0.615231178396072,0.719,0.775,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_010.smt2.slack.smt2",0,28.5646254842876,31.719,32.924,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_012.smt2.slack.smt2",0,44.688640704584,50.328,52.313,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_013.smt2.slack.smt2",0,1.04108819926501,1.219,1.291,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_014.smt2.slack.smt2",,949.614162505674,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_015.smt2.slack.smt2",0,12.986767186841,14.719,15.264,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_016.smt2.slack.smt2",0,1.85503432494279,1.938,2.036,0,1,0,
