,"smt.arith.nl.propagate_monomial_bounds=false","-file:{0} smt.arith.nl.propagate_monomial_bounds=false",,,,,,
,"RV 11694","T_norm 11694","T_cpu 11694","T_wc 11694","# SAT 11694","# UNSAT 11694","# UNKNOWN 11694",
"QF_NIA_small\1567.smt2",0,0.122936690346845,0.141,0.254,1,0,0,
"QF_NIA_small\1574.smt2",0,106.210221674877,103.063,107.194,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0421049806784028,0.047,0.741,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0825789473684211,0.094,0.208,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0846095772217429,0.094,0.181,1,0,0,
"QF_NIA_small\1607.smt2",0,0.082544191919192,0.094,0.256,1,0,0,
"QF_NIA_small\1631.smt2",0,0.153527967549103,0.172,0.244,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0963421052631579,0.109,0.272,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0584749552772809,0.063,0.122,1,0,0,
"QF_NIA_small\1648.smt2",0,2.06689110070258,2.531,3.423,0,1,0,
"QF_NIA_small\1649.smt2",0,0.997245762711864,1.125,1.329,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0906307763401109,0.094,0.212,1,0,0,
"QF_NIA_small\1668.smt2",0,0.134960776218002,0.156,0.289,1,0,0,
"QF_NIA_small\167.smt2",0,0.0569220722681759,0.063,0.123,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0971602972399151,0.109,0.164,1,0,0,
"QF_NIA_small\1689.smt2",0,26.2250323954091,33.859,35.192,1,0,0,
"QF_NIA_small\1693.smt2",0,0.235760500636402,0.266,0.436,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0655848715890851,0.078,0.153,1,0,0,
"QF_NIA_small\1734.smt2",0,0.080471442639094,0.078,0.138,1,0,0,
"QF_NIA_small\1741.smt2",0,0.102560510981623,0.109,0.174,1,0,0,
"QF_NIA_small\1757.smt2",0,0.105656565656566,0.125,0.265,1,0,0,
"QF_NIA_small\1767.smt2",0,0.109532072762087,0.109,0.177,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0528710068742418,0.063,0.201,1,0,0,
"QF_NIA_small\177.smt2",,952.64116575592,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.041272095959596,0.047,0.19,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0529781199351702,0.063,0.241,1,0,0,
"QF_NIA_small\1785.smt2",0,0.129483934859155,0.141,0.44,1,0,0,
"QF_NIA_small\179.smt2",0,0.068241127348643,0.078,0.128,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0889052583862194,0.094,0.219,1,0,0,
"QF_NIA_small\1805.smt2",0,0.364284183454779,0.406,0.572,0,1,0,
"QF_NIA_small\1809.smt2",0,0.740674433518598,0.828,0.978,0,1,0,
"QF_NIA_small\181.smt2",,952.207555757852,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,908.774978279757,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,954.379562043796,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,904.062229904927,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0837425277540564,0.094,0.171,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0915616246498599,0.109,0.294,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0956174258253239,0.109,0.265,1,0,0,
"QF_NIA_small\187.smt2",0,0.0571210135430319,0.063,0.243,1,0,0,
"QF_NIA_small\1884.smt2",0,0.180747554232242,0.203,0.269,1,0,0,
"QF_NIA_small\1895.smt2",0,84.6444403300889,95.609,99.355,1,0,0,
"QF_NIA_small\1898.smt2",0,69.491303674649,80.453,83.697,1,0,0,
"QF_NIA_small\1901.smt2",0,160.93857891492,187.172,194.47,1,0,0,
"QF_NIA_small\1917.smt2",0,0.464951508620689,0.516,0.728,1,0,0,
"QF_NIA_small\192.smt2",0,0.0622816767227691,0.094,0.221,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0957174231332353,0.094,0.227,1,0,0,
"QF_NIA_small\1933.smt2",0,1.14905180388529,1.188,1.381,1,0,0,
"QF_NIA_small\1934.smt2",0,1.44069646569647,1.656,1.778,0,1,0,
"QF_NIA_small\199.smt2",0,0.336152817770465,0.391,0.634,1,0,0,
"QF_NIA_small\20.smt2",0,1.98906914893617,2.234,2.432,1,0,0,
"QF_NIA_small\203.smt2",0,6.70654938533277,7.563,7.956,1,0,0,
"QF_NIA_small\211.smt2",0,12.7441932807963,14.688,15.494,1,0,0,
"QF_NIA_small\23.smt2",0,6.72277327935223,7.938,8.315,1,0,0,
"QF_NIA_small\250.smt2",0,0.0907146160962072,0.094,0.191,1,0,0,
"QF_NIA_small\257.smt2",0,0.0664380081300813,0.078,0.141,1,0,0,
"QF_NIA_small\264.smt2",0,0.080976465730801,0.094,0.397,1,0,0,
"QF_NIA_small\269.smt2",0,0.106387306753458,0.125,0.371,1,0,0,
