,"yices","{0}",,,,,,
,"RV 11625","T_norm 11625","T_cpu 11625","T_wc 11625","# SAT 11625","# UNSAT 11625","# UNKNOWN 11625",
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23714_edge_closing_0.smt2",0,4.41577429983525,5.125,5.304,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23715_edge_closing_0.smt2",0,0.210887096774194,0.234,0.288,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23716_edge_closing_0.smt2",0,5.70049978732454,6.406,6.637,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23717_edge_closing_0.smt2",,531.864406779661,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23719_edge_closing_0.smt2",,514.004914004914,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23720_edge_closing_0.smt2",,538.250428816466,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23722_edge_closing_0.smt2",0,1.19496182322999,1.234,1.337,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23723_edge_closing_0.smt2",0,1.32228686385385,1.453,1.551,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23731_edge_closing_0.smt2",,508.589951377634,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23732_edge_closing_0.smt2",,519.321472900289,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23734_edge_closing_0.smt2",0,78.3256306865178,90.531,94.167,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23735_edge_closing_0.smt2",,529.173693086003,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23748_edge_closing_0.smt2",,520.398009950249,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23750_edge_closing_0.smt2",0,1.04803942807626,1.156,1.207,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23751_edge_closing_0.smt2",,523,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23752_edge_closing_0.smt2",0,0.126969141130772,0.141,0.186,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23753_edge_closing_0.smt2",,569.509981851179,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23754_edge_closing_0.smt2",,543.611953226505,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23756_edge_closing_0.smt2",0,1.88914326414326,2.219,2.332,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23757_edge_closing_0.smt2",0,7.19152713013989,8.109,8.426,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23759_edge_closing_0.smt2",0,3.5842900656045,3.656,3.805,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23760_edge_closing_0.smt2",,549.802890932983,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23765_edge_closing_0.smt2",0,1.07000998003992,1.281,1.36,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23766_edge_closing_0.smt2",,534.127659574468,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23774_edge_closing_0.smt2",0,2.59777411814705,2.922,3.025,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23775_edge_closing_0.smt2",,487.835211815002,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23795_edge_closing_0.smt2",0,5.02299185098952,6.188,6.444,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23796_edge_closing_0.smt2",,528.950695322377,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23853_terminationG_0.smt2",,510.451403009353,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23856_terminationG_0.smt2",0,0.266779424398626,0.297,0.325,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23857_terminationG_0.smt2",0,2.36590058236273,2.719,2.805,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23858_terminationG_0.smt2",0,3.96576286764706,4.125,4.285,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23863_terminationG_0.smt2",0,0.243142724314272,0.25,0.271,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23864_terminationG_0.smt2",,601.725790987536,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23872_terminationG_0.smt2",0,0.693165280665281,0.797,0.811,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23873_terminationG_0.smt2",,543.847487001733,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23877_terminationG_0.smt2",0,0.641193297915815,0.75,0.803,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23878_terminationG_0.smt2",,501.87924830068,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23886_terminationG_0.smt2",0,3.68349462365591,4.094,4.229,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23887_terminationG_0.smt2",,510.866910866911,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23893_terminationG_0.smt2",0,0.746838025295798,0.875,0.967,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c__p23894_terminationG_0.smt2",0,0.837815533980582,1.031,1.126,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23905_terminationG_0.smt2",0,3.42240918803419,3.828,3.904,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23906_terminationG_0.smt2",,505.721192586624,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23910_terminationG_0.smt2",0,1.8839247311828,2.094,2.163,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23911_terminationG_0.smt2",,533.900467886006,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23918_terminationG_0.smt2",,554.661953159523,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23923_terminationG_0.smt2",,576.044056906838,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23927_terminationG_0.smt2",,505.517519130085,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23933_terminationG_0.smt2",,502.683219863837,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23941_terminationG_0.smt2",0,101.929995617879,111.188,115.608,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23942_terminationG_0.smt2",0,38.9658510420924,45.578,47.371,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23947_terminationG_0.smt2",0,2.4322311827957,2.703,2.803,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23951_terminationG_0.smt2",,532.76740237691,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23952_terminationG_0.smt2",,535.952177625961,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23956_edge_closing_0.smt2",,535.723431498079,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lcm.c__p23960_edge_closing_0.smt2",0,1.61348611723226,1.75,1.819,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-TACAS2014-Ex7_true-termination.c__p23983_terminationG_0.smt2",0,16.0986880046136,20.016,20.795,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-TACAS2014-Fig1_true-termination.c__p24009_terminationG_0.smt2",0,0.666808329791756,0.75,0.797,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24028_terminationG_0.smt2",0,0.233019801980198,0.281,0.445,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24029_terminationG_0.smt2",0,0.0904468732706141,0.078,0.132,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24032_terminationG_0.smt2",0,0.0421955679862306,0.047,0.186,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24033_terminationG_0.smt2",0,0.228317811408615,0.281,0.333,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24034_terminationG_0.smt2",0,0.0842461340206186,0.094,0.148,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24038_terminationG_0.smt2",0,0.221060640216411,0.234,0.271,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24039_terminationG_0.smt2",0,0.0986260775862068,0.109,0.15,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24042_terminationG_0.smt2",0,0.0843548387096774,0.094,0.159,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24043_terminationG_0.smt2",,576.838235294117,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24044_terminationG_0.smt2",,484.259259259259,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24047_terminationG_0.smt2",0,0.121514869888476,0.141,0.197,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24048_terminationG_0.smt2",,535.494880546075,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24049_terminationG_0.smt2",,541.03448275862,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2",0,0.902969613259669,1.016,1.082,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24053_edge_closing_0.smt2",0,21.2934930788591,24.266,25.161,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24056_edge_closing_0.smt2",0,0.11247311827957,0.125,0.202,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24057_edge_closing_0.smt2",0,1.80747554232242,2.031,2.267,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24084_terminationG_0.smt2",0,0.0984139784946236,0.109,0.26,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24085_terminationG_0.smt2",,507.561665992721,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24086_terminationG_0.smt2",,553.195240193918,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24089_terminationG_0.smt2",0,0.1442519858782,0.156,0.21,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24090_terminationG_0.smt2",,563.375224416517,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24091_terminationG_0.smt2",,508.796108633968,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24094_terminationG_0.smt2",0,0.14240099009901,0.172,0.323,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24095_terminationG_0.smt2",,599.140811455847,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24096_terminationG_0.smt2",,516.543209876543,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24099_terminationG_0.smt2",0,0.125506612627986,0.141,0.252,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24100_terminationG_0.smt2",,543.611953226505,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex6_false-termination.c__p24101_terminationG_0.smt2",,518.677685950413,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lobnya-Boolean-Reordered_true-termination.c__p24120_terminationG_0.smt2",0,1.09909934497817,1.203,1.285,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Lobnya-Boolean-Reordered_true-termination.c__p24121_terminationG_0.smt2",0,0.568098262032086,0.609,0.662,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24141_terminationG_0.smt2",0,0.0428220524017467,0.047,0.106,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24142_terminationG_0.smt2",,533.673469387755,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24143_terminationG_0.smt2",,578.433179723502,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24146_terminationG_0.smt2",0,0.126024096385542,0.125,0.17,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24147_terminationG_0.smt2",,533.673469387755,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24148_terminationG_0.smt2",,513.374233128835,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24151_terminationG_0.smt2",0,0.154120231461637,0.172,0.21,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24152_terminationG_0.smt2",,541.968911917099,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24153_terminationG_0.smt2",,542.671854734111,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24156_terminationG_0.smt2",0,0.140591397849462,0.156,0.229,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24157_terminationG_0.smt2",,554.416961130742,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__p24158_terminationG_0.smt2",,514.637146371464,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LogMult.c__terminationQ_3_0.smt2",0,0.0943167765869745,0.109,0.143,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie1.c__p24189_terminationG_0.smt2",0,0.0414815989847716,0.047,0.084,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie1.c__p24190_terminationG_0.smt2",0,0.352387882708064,0.391,0.42,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie1.c__p24191_terminationG_0.smt2",,537.098844672657,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie1.c__p24194_terminationG_0.smt2",0,0.0287110232762407,0.031,0.089,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie1.c__p24195_terminationG_0.smt2",0,0.390965399401965,0.438,0.511,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie1.c__p24196_terminationG_0.smt2",,497.3058637084,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie2.c__p24211_terminationG_0.smt2",0,0.0285605067715159,0.031,0.07,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie2.c__p24212_terminationG_0.smt2",0,0.199594880225458,0.203,0.248,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie2.c__p24213_terminationG_0.smt2",,572.105742935278,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie2.c__p24216_terminationG_0.smt2",0,0.0425065019505852,0.047,0.098,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie2.c__p24217_terminationG_0.smt2",0,0.279950040783034,0.328,0.373,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Marbie2.c__p24218_terminationG_0.smt2",,530.964467005076,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24236_terminationG_0.smt2",0,0.0571709663314386,0.063,0.106,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24237_terminationG_0.smt2",0,0.104100318471338,0.125,0.183,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24238_terminationG_0.smt2",0,4.42716897446993,4.891,5.106,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24241_terminationG_0.smt2",0,0.0700846912521441,0.078,0.106,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24242_terminationG_0.smt2",0,0.167826816745656,0.203,0.254,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24243_terminationG_0.smt2",0,0.580852954242559,0.625,0.666,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24246_terminationG_0.smt2",0,0.0570960698689956,0.063,0.094,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24247_terminationG_0.smt2",0,2.53391472868217,2.969,3.087,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24248_terminationG_0.smt2",,567.963800904977,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24250_edge_closing_0.smt2",0,0.0569220722681759,0.063,0.12,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24251_edge_closing_0.smt2",,534.58262350937,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Masse-VMCAI2014-Fig1b_true-termination.c__p24252_edge_closing_0.smt2",,515.270935960591,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__McCarthyIterative.c__term_unfeasibility_0_0.smt2",0,0.484772245762712,0.547,0.635,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__MenloPark_true-termination.c__p24273_terminationG_0.smt2",0,2.08706160071943,2.219,2.29,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__MenloPark_true-termination.c__p24274_terminationG_0.smt2",,572.627737226278,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24281_terminationG_0.smt2",0,0.156060112847222,0.172,0.261,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24282_terminationG_0.smt2",,589.572569281353,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24283_terminationG_0.smt2",,528.505263157895,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24288_terminationG_0.smt2",0,0.128018929503916,0.141,0.191,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24289_terminationG_0.smt2",,537.558886509636,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24290_terminationG_0.smt2",,577.634606534744,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24301_terminationG_0.smt2",0,1.82768817204301,2.031,2.113,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24306_terminationG_0.smt2",0,4.14918730650155,4.484,4.641,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24309_terminationG_0.smt2",0,0.089066757493188,0.094,0.15,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24310_terminationG_0.smt2",0,1.20122676178124,1.328,1.399,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24311_terminationG_0.smt2",,558.362989323844,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24314_terminationG_0.smt2",0,0.109062202097236,0.109,0.259,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24315_terminationG_0.smt2",0,1.12063112199466,1.203,1.253,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24316_terminationG_0.smt2",,470.464767616192,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24319_terminationG_0.smt2",0,0.0697258959044369,0.078,0.128,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24320_terminationG_0.smt2",0,1.24863574351978,1.313,1.474,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24321_terminationG_0.smt2",,520.182345627849,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24324_terminationG_0.smt2",0,0.0710906916050457,0.078,0.13,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24325_terminationG_0.smt2",0,1.75966300602929,1.953,2.024,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24326_terminationG_0.smt2",,552.708058124174,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24329_terminationG_0.smt2",0,0.0963826874473462,0.109,0.139,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24330_terminationG_0.smt2",0,1.08273060796646,1.234,1.307,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24331_terminationG_0.smt2",,531.639135959339,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24334_terminationG_0.smt2",0,0.0993972632493484,0.109,0.164,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24335_terminationG_0.smt2",0,1.14192139737991,1.25,1.297,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24336_terminationG_0.smt2",,540.335772707705,600,600,0,0,0,
