,"smt.arith.nl.bounded_nra=false","-file:{0} smt.arith.nl.bounded_nra=false",,,,,,
,"RV 11680","T_norm 11680","T_cpu 11680","T_wc 11680","# SAT 11680","# UNSAT 11680","# UNKNOWN 11680",
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32246_safety_0.smt2",0,0.390132139812446,0.438,0.647,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32268_safety_0.smt2",0,4.7144122551063,5.406,5.723,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32285_safety_0.smt2",0,0.289386317907445,0.344,0.63,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32305_safety_0.smt2",0,7.17258734554751,8.047,8.434,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32319_safety_0.smt2",,1082.81573498965,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32340_safety_0.smt2",0,4.44688604240283,4.813,5.036,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32365_safety_0.smt2",,826.877470355731,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32397_safety_0.smt2",0,8.26213360237893,9.297,9.705,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32413_safety_0.smt2",0,0.265752032520325,0.297,0.472,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32438_safety_0.smt2",0,1.64317773788151,1.75,1.914,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32455_safety_0.smt2",0,13.4509329119086,15.766,16.414,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32475_safety_0.smt2",0,7.1756447144075,8.047,8.455,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32488_safety_0.smt2",0,0.641701722756411,0.766,1.081,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32511_safety_0.smt2",0,0.615231178396072,0.719,0.919,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32526_safety_0.smt2",0,5.13990724381626,5.563,5.912,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32548_safety_0.smt2",,888.700084961767,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32579_safety_0.smt2",0,1.82503971856559,1.922,2.125,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32596_safety_0.smt2",0,0.419743178170145,0.5,0.747,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32619_safety_0.smt2",0,40.1278772378516,45,46.879,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32635_safety_0.smt2",,870.216306156406,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32658_safety_0.smt2",0,5.96081388449367,7.203,7.501,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32674_safety_0.smt2",,823.622047244094,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32695_safety_0.smt2",0,0.590414614121511,0.688,0.915,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32715_safety_0.smt2",,853.181076672104,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32746_safety_0.smt2",0,0.132284500202347,0.156,0.263,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32763_safety_0.smt2",,876.413908671973,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p334_safety_0.smt2",,865.894039735099,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p359_safety_0.smt2",0,3.0224743150685,2.953,3.224,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p374_safety_0.smt2",0,0.559619183494293,0.609,0.813,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p396_safety_0.smt2",0,6.14728127555192,7.188,7.608,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p423_safety_0.smt2",0,5.18559221840069,5.766,6.091,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p440_terminationG_0.smt2",0,81.2993584833397,101.469,105.56,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateGet.jar-obl-11__p1105_safety_0.smt2",0,2.7519250513347,3.203,3.383,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1543_terminationG_0.smt2",0,19.1762627432808,19.781,20.631,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1578_safety_0.smt2",0,3.39222706517227,3.906,4.131,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1596_safety_0.smt2",0,2.60531903310104,2.859,3.096,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1624_safety_0.smt2",0,8.19239703666496,7.797,8.163,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1650_safety_0.smt2",0,3.62544722719141,3.875,4.077,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1666_safety_0.smt2",,1017.01507049101,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1696_safety_0.smt2",0,6.82427904142973,8.031,8.441,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1718_terminationG_0.smt2",0,1.33332438814942,1.484,1.67,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1749_safety_0.smt2",0,6.93413237165889,7.813,8.191,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1762_safety_0.smt2",0,99.5403565556925,115.766,120.524,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1794_safety_0.smt2",0,5.16931671680275,5.75,6.029,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1808_safety_0.smt2",0,1.55722792832168,1.703,1.933,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1881_safety_0.smt2",,903.671706263499,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1904_safety_0.smt2",0,2.96362773559625,3.172,3.394,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1939_safety_0.smt2",,914.335664335664,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1989_safety_0.smt2",0,0.055614632071459,0.063,0.18,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2019_safety_0.smt2",0,6.06224184221396,7.016,7.361,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2047_safety_0.smt2",0,1.16565168257157,1.109,1.347,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2106_safety_0.smt2",,849.715678310317,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2138_safety_0.smt2",,1026.49656526006,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2164_safety_0.smt2",,914.335664335664,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2200_safety_0.smt2",0,2.56601248884924,2.75,3.041,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2229_safety_0.smt2",0,6.37321273830156,7.031,7.319,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2274_safety_0.smt2",0,6.94002123142251,7.813,8.244,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2292_safety_0.smt2",0,8.11152141802065,7.875,8.256,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2318_safety_0.smt2",,863.748967795211,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2336_safety_0.smt2",0,4.94160470879802,5.719,6.03,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2398_safety_0.smt2",,912.341910161361,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2424_safety_0.smt2",0,0.340494791666667,0.375,0.604,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2442_safety_0.smt2",0,45.313511592301,49.516,51.574,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2469_terminationG_0.smt2",0,39.6363203050525,39.75,41.318,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2501_safety_0.smt2",0,0.512968613775065,0.563,0.745,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2529_safety_0.smt2",0,6.24134737510585,7.047,7.444,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2547_safety_0.smt2",,867.330016583748,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2565_safety_0.smt2",0,4.12188416422287,4.703,4.941,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2",0,9.17031183482333,10.297,10.779,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2610_safety_0.smt2",0,6.97445372750643,7.781,8.109,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2624_safety_0.smt2",,887.192536047498,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2650_safety_0.smt2",0,2.56019792548688,2.891,3.136,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2674_safety_0.smt2",,861.61449752883,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2694_safety_0.smt2",0,0.698845300524405,0.828,0.998,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2710_safety_0.smt2",0,5.91801915322581,7.016,7.316,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2744_safety_0.smt2",0,0.0963421052631579,0.109,0.256,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2769_safety_0.smt2",0,3.82483268566494,4.234,4.499,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2794_safety_0.smt2",0,6.06224184221396,7.016,7.377,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2813_safety_0.smt2",0,9.12126764386536,8.031,8.405,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2836_safety_0.smt2",0,0.960236418511066,1.141,1.44,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2859_safety_0.smt2",0,6.85196932921448,7.422,7.759,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__terminationS_1_0.smt2",0,8.71289485071398,9.625,10.064,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2903_safety_0.smt2",0,6.95478723404255,8.125,8.624,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2923_safety_0.smt2",,869.85446985447,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2952_safety_0.smt2",0,14.2370433087028,16.578,17.372,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2974_safety_0.smt2",0,0.669467943009795,0.719,0.956,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2999_safety_0.smt2",0,53.4620924519875,57.219,59.541,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3015_safety_0.smt2",0,2.96630338078292,3.188,3.346,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3037_safety_0.smt2",0,11.0572207766213,13.203,13.762,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3067_safety_0.smt2",0,0.246533939662822,0.266,0.477,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3088_safety_0.smt2",,836.465413834466,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3111_safety_0.smt2",0,0.925877463054187,1.078,1.399,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3125_safety_0.smt2",,843.548387096774,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3144_safety_0.smt2",0,2.59277620396601,3.063,3.307,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3156_safety_0.smt2",,877.51677852349,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3177_safety_0.smt2",0,6.36393805309734,7.219,7.662,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3204_safety_0.smt2",0,0.203196228760879,0.234,0.421,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3228_safety_0.smt2",0,5.51936475409836,6.438,6.676,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3247_safety_0.smt2",0,1.03639966624948,1.188,1.396,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3276_safety_0.smt2",,847.993514389947,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3295_safety_0.smt2",,910.753156290814,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3316_safety_0.smt2",0,0.5149771973466,0.594,0.806,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3339_safety_0.smt2",0,3.12637516838797,3.328,3.542,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3355_safety_0.smt2",,875.313807531381,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__terminationS_1_0.smt2",0,7.0034370875495,7.609,8.017,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorKeyLoop.jar-obl-12__p3705_safety_0.smt2",0,4.07283554741182,4.25,4.524,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5427_safety_0.smt2",0,0.185481230903536,0.203,0.288,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5452_safety_0.smt2",,890.591741166454,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5483_safety_0.smt2",0,3.6786575562701,4.375,4.598,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5509_safety_0.smt2",,748.74731567645,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5528_safety_0.smt2",0,0.471454326923077,0.516,0.699,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5552_safety_0.smt2",0,1.1138402998637,1.172,1.374,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5566_safety_0.smt2",0,25.9489768297965,28.641,29.92,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5586_terminationG_0.smt2",0,0.788661447638606,0.734,0.982,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5625_safety_0.smt2",0,4.73650486827033,3.953,4.155,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5640_safety_0.smt2",0,0.592359967051071,0.688,0.888,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5665_safety_0.smt2",0,30.9685527976441,35.188,36.641,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5675_safety_0.smt2",0,0.90358268671193,0.891,0.992,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5710_safety_0.smt2",0,8.17965033301618,8.219,8.566,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5725_safety_0.smt2",0,0.20194089785832,0.234,0.44,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5754_safety_0.smt2",0,0.685751748251748,0.75,0.942,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5790_safety_0.smt2",0,2.14812155330882,2.234,2.422,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5807_safety_0.smt2",0,0.168854928971158,0.188,0.291,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5840_safety_0.smt2",0,0.665676707679253,0.75,0.921,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5857_safety_0.smt2",0,1.37752414398595,1.5,1.702,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5884_safety_0.smt2",0,6.86203723180479,7.797,8.125,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5896_safety_0.smt2",0,14.7625364887406,16.922,17.666,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5922_safety_0.smt2",0,3.21882536173633,3.828,4.083,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5945_safety_0.smt2",0,11.9835167829119,13.141,13.766,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5984_safety_0.smt2",0,2.06789426118391,2.188,2.375,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6000_safety_0.smt2",0,0.170099739809193,0.188,0.967,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6028_safety_0.smt2",0,7.01614370168259,7.375,7.712,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6048_safety_0.smt2",,875.313807531381,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6071_safety_0.smt2",0,0.921561298590346,1.031,1.246,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6085_safety_0.smt2",,931.019136626613,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6102_safety_0.smt2",0,72.0162241075363,78.109,81.28,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6125_safety_0.smt2",0,7.52228809837506,8.188,8.569,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6161_safety_0.smt2",0,7.02165439584236,7.75,8.095,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6179_safety_0.smt2",0,2.01741034195163,2.313,2.549,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6207_safety_0.smt2",0,10.6582938388626,10.75,11.211,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6223_safety_0.smt2",,945.750452079566,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6247_safety_0.smt2",0,0.922974587315378,1.016,1.33,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6269_safety_0.smt2",,854.226214781543,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6290_safety_0.smt2",0,7.36335026501767,7.969,8.364,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6313_safety_0.smt2",0,5.53424728940784,6.344,6.709,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6345_safety_0.smt2",0,7.14949693788277,7.813,8.151,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6363_safety_0.smt2",0,12.2448881608676,12.953,13.448,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6393_safety_0.smt2",0,6.1375,7.672,7.981,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6414_safety_0.smt2",0,6.64739647396474,7.75,8.146,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6433_safety_0.smt2",0,0.276543993231811,0.313,0.516,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6451_safety_0.smt2",,896.315338474722,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6477_safety_0.smt2",0,71.1098814829822,83.891,87.252,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6498_terminationG_0.smt2",,854.924397221087,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6519_terminationG_0.smt2",0,2.69661174159756,2.953,3.205,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6579_safety_0.smt2",0,7.45146927871772,8,8.385,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6603_safety_0.smt2",0,13.3412822111388,15.344,16.051,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6620_safety_0.smt2",0,0.373735708003518,0.406,0.531,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6638_safety_0.smt2",0,6.9846334376397,7.469,7.973,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6656_safety_0.smt2",0,2.10930995004163,2.422,2.608,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6722_safety_0.smt2",0,2.36062056037885,2.859,3.115,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6750_safety_0.smt2",,904.453091223519,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6767_safety_0.smt2",0,0.821293969849246,0.938,1.14,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6792_safety_0.smt2",0,10.6260130571814,11.281,11.78,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6811_safety_0.smt2",0,60.1561040339703,67.719,70.459,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6833_safety_0.smt2",0,10.751548483554,12.031,12.548,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6858_terminationG_0.smt2",0,0.259310268840899,0.281,0.476,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6918_safety_0.smt2",0,1.18471993410214,1.375,1.825,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6933_safety_0.smt2",,870.216306156406,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6950_safety_0.smt2",,820.392156862745,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6967_safety_0.smt2",,857.377049180328,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6990_safety_0.smt2",,934.345690040197,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p7011_safety_0.smt2",0,6.76899372478709,7.219,7.579,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__terminationS_0_0.smt2",0,5.16553413400758,5.859,6.183,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7055_safety_0.smt2",0,0.382578417602996,0.391,0.573,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7074_safety_0.smt2",,904.062229904927,1000,1000,0,0,0,
