,"smt.arith.nl.bounded_nra=false","-file:{0} smt.arith.nl.bounded_nra=false",,,,,,
,"RV 11680","T_norm 11680","T_cpu 11680","T_wc 11680","# SAT 11680","# UNSAT 11680","# UNKNOWN 11680",
"QF_NIA_small\1567.smt2",0,0.0574472759226714,0.063,0.188,1,0,0,
"QF_NIA_small\1574.smt2",0,101.282376868953,110.094,114.455,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0580337328007102,0.063,0.175,1,0,0,
"QF_NIA_small\1586.smt2",0,0.047975782778865,0.047,0.169,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0559079247434436,0.047,0.136,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0738200090334237,0.078,0.178,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0595943482224248,0.063,0.181,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0947071605960265,0.109,0.237,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0889455782312925,0.094,0.197,1,0,0,
"QF_NIA_small\1648.smt2",0,1.6938216243149,1.625,1.777,0,1,0,
"QF_NIA_small\1649.smt2",0,0.915656958648288,0.984,1.174,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0708134748700173,0.078,0.177,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0722535366931919,0.078,0.201,1,0,0,
"QF_NIA_small\167.smt2",0,0.0703562204046492,0.078,0.165,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0702352814782982,0.078,0.184,1,0,0,
"QF_NIA_small\1689.smt2",0,26.7506380263718,30.063,31.276,1,0,0,
"QF_NIA_small\1693.smt2",0,0.0700546506643806,0.078,0.189,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0702654772141015,0.078,0.158,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0638116154221571,0.063,0.167,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0688737884534345,0.078,0.167,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0603647276084949,0.063,0.174,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0774126702190645,0.063,0.139,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0604484512251503,0.063,0.174,1,0,0,
"QF_NIA_small\177.smt2",,925.663716814159,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0587376460017969,0.063,0.17,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0428407601572739,0.047,0.171,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0870119787045253,0.094,0.184,1,0,0,
"QF_NIA_small\179.smt2",0,0.047975782778865,0.047,0.144,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0545018757815757,0.063,0.172,1,0,0,
"QF_NIA_small\1805.smt2",0,0.349374732791791,0.391,0.554,0,1,0,
"QF_NIA_small\1809.smt2",0,0.551389489619377,0.609,0.799,0,1,0,
"QF_NIA_small\181.smt2",,952.64116575592,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,897.854077253219,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,885.315277190013,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,1044.43334997504,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0820881466599699,0.078,0.19,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0954379562043796,0.094,0.183,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0835997442455243,0.094,0.203,1,0,0,
"QF_NIA_small\187.smt2",0,0.0531072298943948,0.063,0.206,1,0,0,
"QF_NIA_small\1884.smt2",0,0.166631265930331,0.188,0.29,1,0,0,
"QF_NIA_small\1895.smt2",0,72.7028622898319,86.813,90.309,1,0,0,
"QF_NIA_small\1898.smt2",0,68.7478503184713,77.391,80.451,1,0,0,
"QF_NIA_small\1901.smt2",0,141.72375893984,161.031,167.57,1,0,0,
"QF_NIA_small\1917.smt2",0,0.0910515320334262,0.109,0.236,1,0,0,
"QF_NIA_small\192.smt2",0,0.0558760683760684,0.063,0.167,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0674803881090008,0.078,0.215,1,0,0,
"QF_NIA_small\1933.smt2",0,1.05031480677377,1.156,1.342,1,0,0,
"QF_NIA_small\1934.smt2",0,1.25996495838809,1.375,1.658,0,1,0,
"QF_NIA_small\199.smt2",0,0.0881857014388489,0.094,0.209,1,0,0,
"QF_NIA_small\20.smt2",0,1.81280021834061,1.984,2.176,1,0,0,
"QF_NIA_small\203.smt2",0,7.26540916701549,8.297,8.711,1,0,0,
"QF_NIA_small\211.smt2",0,12.8970127484875,14.266,14.85,1,0,0,
"QF_NIA_small\23.smt2",0,6.80871866897148,7.531,7.879,1,0,0,
"QF_NIA_small\250.smt2",0,0.0706603977518374,0.078,0.187,1,0,0,
"QF_NIA_small\257.smt2",0,0.0568725532840365,0.063,0.183,1,0,0,
"QF_NIA_small\264.smt2",0,0.0817528136723635,0.094,0.194,1,0,0,
"QF_NIA_small\269.smt2",0,0.0546842325386867,0.063,0.17,1,0,0,
"QF_NIA_small\281.smt2",0,0.0682126460767947,0.078,0.179,1,0,0,
