,"enable_gcd=false","-file:{0} smt.arith.enable_gcd=false",,,,,,
,"RV 11679","T_norm 11679","T_cpu 11679","T_wc 11679","# SAT 11679","# UNSAT 11679","# UNKNOWN 11679",
"QF_NIA_small\1574.smt2",0,118.066349052541,131.047,136.346,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0590560072267389,0.063,0.154,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0873997326203209,0.094,0.189,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0566017316017316,0.063,0.164,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0910515320334262,0.094,0.205,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0683838912133891,0.078,0.187,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0810433884297521,0.094,0.218,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0514763779527559,0.063,0.184,1,0,0,
"QF_NIA_small\1648.smt2",0,1.75968597063622,2.063,2.287,0,1,0,
"QF_NIA_small\1649.smt2",0,0.893635198633063,1,1.176,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0789871123640757,0.094,0.18,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0852717391304348,0.094,0.207,1,0,0,
"QF_NIA_small\167.smt2",0,0.0871666666666667,0.094,0.166,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0791848352713178,0.078,0.173,1,0,0,
"QF_NIA_small\1689.smt2",0,24.2542945116681,26.828,27.934,1,0,0,
"QF_NIA_small\1693.smt2",0,0.100400394910048,0.109,0.237,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0966014037680089,0.125,0.268,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0765515222482436,0.078,0.218,1,0,0,
"QF_NIA_small\1741.smt2",0,0.084500215424386,0.094,0.197,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0669551413355182,0.078,0.189,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0846826424870466,0.094,0.233,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0670169144028703,0.063,0.158,1,0,0,
"QF_NIA_small\177.smt2",,857.377049180328,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0718406593406593,0.094,0.22,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0900068838916934,0.094,0.275,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0564550949913644,0.063,0.177,1,0,0,
"QF_NIA_small\179.smt2",0,0.0605885078776645,0.063,0.134,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0868963225520603,0.094,0.181,1,0,0,
"QF_NIA_small\1805.smt2",0,0.340199479618387,0.375,0.61,0,1,0,
"QF_NIA_small\1809.smt2",0,0.624105011933174,0.75,0.914,0,1,0,
"QF_NIA_small\181.smt2",,840.498192044998,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,951.774340309372,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,847.649918962723,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,894.781864841745,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0672582304526749,0.078,0.19,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0547071129707113,0.063,0.173,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0920404263877715,0.109,0.275,1,0,0,
"QF_NIA_small\187.smt2",0,0.0697258959044369,0.078,0.181,1,0,0,
"QF_NIA_small\1884.smt2",0,0.171663019693654,0.188,0.3,1,0,0,
"QF_NIA_small\1895.smt2",0,74.2630932022232,83.031,86.393,1,0,0,
"QF_NIA_small\1898.smt2",0,75.3810662622492,77.219,80.33,1,0,0,
"QF_NIA_small\1901.smt2",0,159.591911764706,202.313,210.444,1,0,0,
"QF_NIA_small\1917.smt2",0,0.177008122743682,0.188,0.291,1,0,0,
"QF_NIA_small\192.smt2",0,0.0787018459069021,0.094,0.179,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0586585912965455,0.063,0.16,1,0,0,
"QF_NIA_small\1933.smt2",0,1.10337552742616,1.25,1.44,1,0,0,
"QF_NIA_small\1934.smt2",0,1.21782387806943,1.375,1.547,0,1,0,
"QF_NIA_small\199.smt2",0,0.147724938373048,0.172,0.273,1,0,0,
"QF_NIA_small\20.smt2",0,1.8305,2.078,2.283,1,0,0,
"QF_NIA_small\203.smt2",0,7.57648061354921,8.5,8.884,1,0,0,
"QF_NIA_small\211.smt2",0,13.0160277061856,14.484,15.127,1,0,0,
"QF_NIA_small\23.smt2",0,7.28058399498537,8.328,8.737,1,0,0,
"QF_NIA_small\250.smt2",0,0.0666547716150082,0.078,0.183,1,0,0,
"QF_NIA_small\257.smt2",0,0.0587640449438202,0.063,0.188,1,0,0,
"QF_NIA_small\264.smt2",0,0.101379042977404,0.109,0.221,1,0,0,
"QF_NIA_small\269.smt2",0,0.112812769628991,0.125,0.252,1,0,0,
"QF_NIA_small\281.smt2",0,0.0952591590341382,0.109,0.18,1,0,0,
"QF_NIA_small\307.smt2",0,55.6467347351395,65.781,68.457,1,0,0,
"QF_NIA_small\310.smt2",0,204.076385961214,231.391,240.695,1,0,0,
"QF_NIA_small\322.smt2",0,0.0677882621318955,0.078,0.188,1,0,0,
"QF_NIA_small\34.smt2",0,46.4822247706422,50.859,52.981,1,0,0,
"QF_NIA_small\35.smt2",,860.197368421053,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0409446764091858,0.047,0.156,1,0,0,
"QF_NIA_small\364.smt2",0,0.0724136021267169,0.078,0.18,1,0,0,
"QF_NIA_small\367.smt2",0,0.0806435032894737,0.094,0.213,1,0,0,
"QF_NIA_small\370.smt2",0,0.0667364230298081,0.078,0.22,1,0,0,
"QF_NIA_small\377.smt2",0,0.0715889180902322,0.078,0.163,1,0,0,
"QF_NIA_small\40.smt2",,834.130781499203,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.119104251012146,0.141,0.27,1,0,0,
"QF_NIA_small\424.smt2",0,26.4813681271478,29.469,30.6,1,0,0,
"QF_NIA_small\443.smt2",0,0.102589250686544,0.125,0.229,1,0,0,
"QF_NIA_small\449.smt2",0,0.208302696078431,0.203,0.401,1,0,0,
"QF_NIA_small\455.smt2",0,0.0786135161135164,0.078,0.213,1,0,0,
"QF_NIA_small\460.smt2",0,0.256372549019607,0.25,0.439,1,0,0,
"QF_NIA_small\466.smt2",0,0.0786135161135164,0.078,0.196,1,0,0,
"QF_NIA_small\485.smt2",0,33.5611751152074,34.813,36.255,1,0,0,
"QF_NIA_small\496.smt2",0,0.0591628959276018,0.063,0.319,1,0,0,
"QF_NIA_small\498.smt2",0,0.0920342562177382,0.094,0.199,1,0,0,
"QF_NIA_small\500.smt2",0,0.102898740818468,0.094,0.204,1,0,0,
"QF_NIA_small\507.smt2",0,0.0427660270388138,0.047,0.207,1,0,0,
"QF_NIA_small\514.smt2",0,0.107348111658456,0.094,0.191,1,0,0,
"QF_NIA_small\520.smt2",0,0.0422865459249676,0.047,0.181,1,0,0,
"QF_NIA_small\527.smt2",0,0.151611781076067,0.156,0.273,1,0,0,
"QF_NIA_small\535.smt2",0,0.11404273877017,0.125,0.267,1,0,0,
"QF_NIA_small\54.smt2",,1013.07506053269,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.128298081116441,0.141,0.262,1,0,0,
"QF_NIA_small\551.smt2",0,0.0606447124304268,0.063,0.236,1,0,0,
"QF_NIA_small\572.smt2",0,220.071784804754,247.844,257.958,1,0,0,
"QF_NIA_small\573.smt2",0,0.940852594853903,1.031,1.248,1,0,0,
"QF_NIA_small\574.smt2",0,1.05394275700935,1.078,1.287,1,0,0,
"QF_NIA_small\58.smt2",,888.322717622081,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,8.46460940871817,9.375,9.858,1,0,0,
"QF_NIA_small\586.smt2",0,10.4570418552036,11.047,11.514,0,1,0,
"QF_NIA_small\599.smt2",0,0.165716096324461,0.188,0.27,1,0,0,
"QF_NIA_small\604.smt2",0,1.31099598930482,1.172,1.383,0,1,0,
"QF_NIA_small\624.smt2",0,0.0873219056099733,0.094,0.389,1,0,0,
