,"smt.arith.nl.horner=false","-file:{0} smt.arith.nl.horner=false",,,,,,
,"RV 11687","T_norm 11687","T_cpu 11687","T_wc 11687","# SAT 11687","# UNSAT 11687","# UNKNOWN 11687",
"QF_NIA_small\1567.smt2",0,0.0898419606046725,0.094,0.205,1,0,0,
"QF_NIA_small\1574.smt2",0,100.619782561189,110.047,114.503,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0512075718015666,0.047,0.13,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0813459145582746,0.094,0.207,1,0,0,
"QF_NIA_small\1594.smt2",0,0.044533378746594,0.047,0.155,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0705384117393181,0.078,0.192,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0586849192100539,0.063,0.2,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0732246863799283,0.078,0.208,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0816847147022074,0.094,0.177,1,0,0,
"QF_NIA_small\1648.smt2",0,1.77581129807692,1.766,1.97,0,1,0,
"QF_NIA_small\1649.smt2",0,0.951020647583294,0.969,1.176,0,1,0,
"QF_NIA_small\1662.smt2",0,0.089066757493188,0.094,0.204,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0797256097560976,0.094,0.199,1,0,0,
"QF_NIA_small\167.smt2",0,0.0808096415327565,0.094,0.199,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0809096534653465,0.094,0.19,1,0,0,
"QF_NIA_small\1689.smt2",0,24.0482560658579,26.531,27.568,1,0,0,
"QF_NIA_small\1693.smt2",0,0.0913483931066605,0.094,0.177,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0714324737762238,0.078,0.183,1,0,0,
"QF_NIA_small\1734.smt2",0,0.076052815262913,0.078,0.171,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0665462133550489,0.078,0.192,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0925467157417894,0.078,0.258,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0575146627565981,0.047,0.149,1,0,0,
