,"smt.arith.nl.horner=false","-file:{0} smt.arith.nl.horner=false",,,,,,
,"RV 11687","T_norm 11687","T_cpu 11687","T_wc 11687","# SAT 11687","# UNSAT 11687","# UNKNOWN 11687",
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32268_safety_0.smt2",0,1.15602134146342,1.359,1.581,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32285_safety_0.smt2",0,0.405336581045173,0.438,0.633,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32305_safety_0.smt2",0,6.15409039970116,7.875,8.512,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32319_safety_0.smt2",,1042.35176880917,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32340_safety_0.smt2",0,6.24989424703892,7.063,7.424,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32365_safety_0.smt2",,900.172117039587,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32397_safety_0.smt2",0,7.33278350515464,8.5,8.838,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32413_safety_0.smt2",0,1.85471516114389,1.953,2.172,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32438_safety_0.smt2",0,7.69972222222222,8.281,8.699,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32455_safety_0.smt2",0,15.7715093936806,17.656,18.383,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32475_safety_0.smt2",0,2.10662078531797,2.359,2.522,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32488_safety_0.smt2",0,0.666487313094699,0.703,0.898,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32511_safety_0.smt2",0,8.00698029094322,8.156,8.507,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32526_safety_0.smt2",0,5.78841145833333,6.906,7.205,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32548_safety_0.smt2",,917.543859649123,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32579_safety_0.smt2",0,7.3686880072137,7.813,8.156,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32596_safety_0.smt2",0,0.368766922382671,0.391,0.556,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32619_safety_0.smt2",0,4.00339330808081,4.547,4.749,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32635_safety_0.smt2",,981.698732989207,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32658_safety_0.smt2",0,1.65636210762332,1.766,2.015,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32674_safety_0.smt2",,920.774647887324,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32695_safety_0.smt2",0,2.26275903880071,2.453,2.704,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32715_safety_0.smt2",,873.851294903926,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32746_safety_0.smt2",0,0.185968271334792,0.203,0.395,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32763_safety_0.smt2",,911.944202266783,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p334_safety_0.smt2",0,51.169158777969,56.844,59.212,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p359_safety_0.smt2",0,7.1958430913349,7.344,7.725,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p374_safety_0.smt2",0,0.405448032506416,0.453,0.684,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p396_safety_0.smt2",0,5.26195743784239,5.969,6.29,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p423_safety_0.smt2",0,5.20613853172957,6,6.283,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p440_terminationG_0.smt2",0,132.266770342972,188.031,195.315,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateGet.jar-obl-11__p1105_safety_0.smt2",0,6.01602626459144,7.391,7.773,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1543_terminationG_0.smt2",0,28.3593411942882,31.328,32.567,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1578_safety_0.smt2",0,2.50261272898074,2.547,2.775,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1596_safety_0.smt2",0,7.44992363721804,7.578,8.089,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1624_safety_0.smt2",0,1.25776125929165,1.375,1.593,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1650_safety_0.smt2",0,5.22564529558701,6,6.297,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1666_safety_0.smt2",,907.986111111111,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1696_safety_0.smt2",0,7.51731523534269,8.703,9.093,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1718_terminationG_0.smt2",0,2.11255458515284,2.313,2.558,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1749_safety_0.smt2",0,2.23562176165803,2.063,2.236,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1762_safety_0.smt2",,841.512469831054,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1794_safety_0.smt2",0,2.17641171512853,2.469,2.694,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1808_safety_0.smt2",0,57.454394217531,59.844,62.124,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1881_safety_0.smt2",,938.537460744729,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1904_safety_0.smt2",0,1.09519974226804,1.219,1.496,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1939_safety_0.smt2",,961.397058823529,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1989_safety_0.smt2",0,0.0579052258635961,0.063,0.281,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2019_safety_0.smt2",0,3.79990453966907,4.281,4.521,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2047_safety_0.smt2",0,6.9464438731791,7.75,8.107,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2106_safety_0.smt2",,680.767979173446,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2138_safety_0.smt2",,865.535788167149,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2164_safety_0.smt2",,911.546840958606,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2200_safety_0.smt2",0,5.07017205957884,4.719,4.988,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2229_safety_0.smt2",0,9.81304573804574,11.281,11.794,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2274_safety_0.smt2",0,7.18829185520362,7.594,7.939,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2292_safety_0.smt2",0,5.18663155535634,5.531,5.794,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2318_safety_0.smt2",,886.065226598899,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2336_safety_0.smt2",0,33.5733007552199,36.125,37.621,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2398_safety_0.smt2",,911.944202266783,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2424_safety_0.smt2",0,2.22354311091854,2.453,2.679,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2442_safety_0.smt2",0,4.1476586102719,4.594,4.831,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2469_terminationG_0.smt2",,887.945670628183,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2501_safety_0.smt2",0,1.75930009045681,1.859,2.05,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2529_safety_0.smt2",0,2.16242530943235,2.422,2.64,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2547_safety_0.smt2",,882.700421940928,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2565_safety_0.smt2",0,1.1707750102923,1.359,1.598,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2",,1010.14002897151,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2610_safety_0.smt2",0,3.47769197769198,3.875,4.109,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2624_safety_0.smt2",,883.445945945946,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2650_safety_0.smt2",0,7.01335696148963,7.922,8.312,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2674_safety_0.smt2",,930.604982206406,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2694_safety_0.smt2",0,0.624517276422764,0.734,0.917,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2710_safety_0.smt2",0,3.397374893071,3.797,3.973,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2744_safety_0.smt2",0,0.289269911504425,0.313,0.51,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2769_safety_0.smt2",0,4.28520693512304,4.578,4.796,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2794_safety_0.smt2",0,1.37822082623509,1.547,1.722,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2813_safety_0.smt2",0,6.68265605362379,7.625,7.943,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2836_safety_0.smt2",0,0.736893874946831,0.828,0.978,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2859_safety_0.smt2",0,4.11154319606088,4.391,4.731,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__terminationS_1_0.smt2",0,11.3845646437995,12.375,12.934,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2903_safety_0.smt2",0,6.98817706196143,8.141,8.447,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2923_safety_0.smt2",,999.522216913521,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2952_safety_0.smt2",0,19.8632005899705,22.531,23.533,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2974_safety_0.smt2",0,1.1909900990099,1.438,1.634,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p2999_safety_0.smt2",,868.770764119601,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3015_safety_0.smt2",0,34.8159283741121,42.172,43.917,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3037_safety_0.smt2",0,13.084225070555,13.297,13.874,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3067_safety_0.smt2",0,0.21495506356861,0.234,0.405,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3088_safety_0.smt2",,846.278317152104,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3111_safety_0.smt2",0,2.00790424570912,2.125,2.36,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3125_safety_0.smt2",,1051.25628140704,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3144_safety_0.smt2",0,4.85172955974843,5.531,5.816,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3156_safety_0.smt2",,889.834113143343,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3177_safety_0.smt2",0,6.98401926444834,7.625,7.908,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3204_safety_0.smt2",0,0.393460648148148,0.406,0.606,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3228_safety_0.smt2",0,4.15574096146206,5,5.245,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3247_safety_0.smt2",0,1.62457155098543,1.813,2.059,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3276_safety_0.smt2",,798.778159602902,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3295_safety_0.smt2",,853.529171766626,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3316_safety_0.smt2",0,0.631574710176041,0.703,0.918,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3339_safety_0.smt2",0,1.51974980299448,1.844,2.027,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3355_safety_0.smt2",,913.138367525098,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__terminationS_1_0.smt2",0,6.53203386287625,7.469,7.794,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateIteratorKeyLoop.jar-obl-12__p3705_safety_0.smt2",0,8.09484790059983,9.031,9.404,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5427_safety_0.smt2",0,6.20701465590484,6.984,7.326,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5452_safety_0.smt2",,851.098454027665,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5483_safety_0.smt2",0,0.806193946188341,0.859,1.035,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5509_safety_0.smt2",,945.750452079566,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5528_safety_0.smt2",0,2.87717367969085,3.203,3.425,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5552_safety_0.smt2",0,1.04291411713287,1.141,1.349,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5566_safety_0.smt2",0,5.4021763146266,5.844,6.305,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5586_terminationG_0.smt2",0,1.23915103750998,1.484,1.681,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5625_safety_0.smt2",0,1.98869965724079,2.219,2.47,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5640_safety_0.smt2",0,1.00368257261411,1.156,1.404,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5665_safety_0.smt2",0,12.473594548552,14,14.628,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5675_safety_0.smt2",0,6.32576969212315,7.563,7.886,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5710_safety_0.smt2",0,7.3339176161262,8,8.363,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5725_safety_0.smt2",0,1.23927333876885,1.453,1.637,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5754_safety_0.smt2",0,8.46387881926461,7.813,8.165,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5790_safety_0.smt2",0,0.107968620974401,0.125,0.245,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5807_safety_0.smt2",0,0.269614100549882,0.328,0.51,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5840_safety_0.smt2",0,7.34585096379878,7.469,7.794,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5857_safety_0.smt2",0,3.70186862967156,3.125,3.334,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5884_safety_0.smt2",0,8.53325606276747,8.578,8.964,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5896_safety_0.smt2",0,1.12097050754458,1.172,1.371,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5922_safety_0.smt2",0,5.01384746484874,5.625,5.894,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5945_safety_0.smt2",0,35.310230152027,39.969,41.604,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5984_safety_0.smt2",0,7.56122084721561,7.594,7.988,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6000_safety_0.smt2",0,0.588963963963964,0.5,0.66,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6028_safety_0.smt2",0,6.30513678115016,7.547,7.943,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6048_safety_0.smt2",,804.924971142747,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6071_safety_0.smt2",0,7.29294444444445,7.844,8.268,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6085_safety_0.smt2",0,23.8721702755905,23.188,24.178,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6102_safety_0.smt2",0,2.968025,3.547,3.742,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6125_safety_0.smt2",0,1.37181295126354,1.453,1.697,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6161_safety_0.smt2",0,6.83844533497739,7.953,8.377,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6179_safety_0.smt2",0,1.41533505154639,1.641,1.87,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6207_safety_0.smt2",0,5.17286274925753,5.828,6.135,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6223_safety_0.smt2",,922.398589065256,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6247_safety_0.smt2",0,2.67499408703879,2.703,2.889,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6269_safety_0.smt2",,884.566596194503,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6290_safety_0.smt2",0,6.84317080876158,7.766,8.121,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6313_safety_0.smt2",0,8.59449695784442,9.453,9.86,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6345_safety_0.smt2",0,1.95635910224439,1.875,2.076,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6363_safety_0.smt2",0,2.38104688083676,3.047,3.633,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6393_safety_0.smt2",0,7.2334960483496,7.438,7.78,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6414_safety_0.smt2",0,6.65358380251191,7.344,7.7,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6433_safety_0.smt2",0,0.732835123773937,0.75,0.925,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6451_safety_0.smt2",,929.364726788094,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6477_safety_0.smt2",0,18.6389478150191,21,21.823,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6498_terminationG_0.smt2",,922.805469783855,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6519_terminationG_0.smt2",0,1.06375552430695,1.266,1.447,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6579_safety_0.smt2",0,7.88477399314482,8.797,9.218,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6603_safety_0.smt2",0,4.10171332046332,5.078,5.325,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6620_safety_0.smt2",0,1.50759958071279,1.719,1.883,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6638_safety_0.smt2",0,13.1069327264654,14.109,14.742,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6656_safety_0.smt2",0,12.6391666666667,12.688,13.239,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6722_safety_0.smt2",0,1.27887750349325,1.313,1.542,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6750_safety_0.smt2",0,0.343914395026304,0.344,0.53,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6767_safety_0.smt2",0,0.350379633765074,0.375,0.756,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6792_safety_0.smt2",0,3.51568501920614,3.938,4.245,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6811_safety_0.smt2",0,48.6502133638634,55.859,58.026,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6833_safety_0.smt2",0,2.75393738140417,3.469,3.708,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6858_terminationG_0.smt2",0,2.1508658008658,2.375,2.565,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6918_safety_0.smt2",0,6.58785301668806,7.359,7.692,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6933_safety_0.smt2",0,62.3568403218975,70.375,73.45,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6950_safety_0.smt2",,908.774978279757,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6967_safety_0.smt2",,894.781864841745,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6990_safety_0.smt2",,877.51677852349,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p7011_safety_0.smt2",0,7.51067277603934,8.031,8.563,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__terminationS_0_0.smt2",0,5.77667025862069,6.406,6.685,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7055_safety_0.smt2",0,0.380427484333035,0.406,0.62,1,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7074_safety_0.smt2",,907.986111111111,1000,1000,0,0,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7104_safety_0.smt2",0,4.44029314159292,4.797,5.139,0,1,0,
"QF_NIA_small\From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7124_safety_0.smt2",0,7.3366186900292,8.406,8.808,1,0,0,
