,"smt.arith.gomory_use_closest_int=false","-file:{0} smt.arith.gomory_use_closest_int=false",,,,,,
,"RV 11690","T_norm 11690","T_cpu 11690","T_wc 11690","# SAT 11690","# UNSAT 11690","# UNKNOWN 11690",
"QF_NIA_small\1567.smt2",0,0.0758058905380334,0.078,0.203,1,0,0,
"QF_NIA_small\1574.smt2",0,100.800078125,115.641,120.253,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0566999132697311,0.063,0.193,1,0,0,
"QF_NIA_small\1586.smt2",0,0.101966354723708,0.109,0.189,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0553322048243758,0.063,0.201,1,0,0,
"QF_NIA_small\1607.smt2",0,0.109049207673061,0.125,0.235,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0698749465583583,0.078,0.192,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0808762886597938,0.094,0.211,1,0,0,
"QF_NIA_small\1644.smt2",0,0.108699524940618,0.109,0.232,1,0,0,
"QF_NIA_small\1648.smt2",0,1.66508350730689,1.906,2.176,0,1,0,
"QF_NIA_small\1649.smt2",0,0.916471962616822,0.984,1.163,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0537402383888204,0.063,0.205,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0966269003378378,0.109,0.213,1,0,0,
"QF_NIA_small\167.smt2",0,0.068155754795663,0.078,0.217,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0633171912832931,0.063,0.179,1,0,0,
"QF_NIA_small\1689.smt2",0,24.0221192273535,25.859,26.917,1,0,0,
"QF_NIA_small\1693.smt2",0,0.0829281183932347,0.094,0.206,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0678727159468439,0.078,0.188,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0545018757815757,0.063,0.188,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0650368085953044,0.078,0.925,1,0,0,
"QF_NIA_small\1757.smt2",0,0.073853366470854,0.078,0.198,1,0,0,
"QF_NIA_small\1767.smt2",0,0.056099828375286,0.047,0.151,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0936604584527221,0.094,0.171,1,0,0,
"QF_NIA_small\177.smt2",,915.135608048994,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0736536728255971,0.078,0.176,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0472590361445783,0.047,0.177,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0711216275021758,0.078,0.174,1,0,0,
"QF_NIA_small\179.smt2",0,0.0576245041868665,0.063,0.224,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0707521645021645,0.078,0.185,1,0,0,
"QF_NIA_small\1805.smt2",0,0.373735708003518,0.406,0.574,0,1,0,
"QF_NIA_small\1809.smt2",0,0.606089338390223,0.688,0.876,0,1,0,
"QF_NIA_small\181.smt2",,835.463258785943,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,899.784946236559,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,880.47138047138,1000,1000,0,0,0,
