,"smt.arith.gomory_polarity=false","-file:{0} smt.arith.gomory_polarity=false",,,,,,
,"RV 11688","T_norm 11688","T_cpu 11688","T_wc 11688","# SAT 11688","# UNSAT 11688","# UNKNOWN 11688",
"QF_NIA_small\1567.smt2",0,0.0787334403853874,0.094,0.201,1,0,0,
"QF_NIA_small\1574.smt2",0,113.809661502547,128.172,133.255,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0545929018789144,0.063,0.192,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0719671950682519,0.078,0.193,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0507964257964258,0.063,0.166,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0757707464070468,0.078,0.219,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0520087509944312,0.063,0.201,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0946288254755997,0.109,0.215,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0952195172700791,0.109,0.216,1,0,0,
"QF_NIA_small\1648.smt2",0,1.76970541401274,1.859,2.042,0,1,0,
"QF_NIA_small\1649.smt2",0,0.884128670788253,1.094,1.316,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0760174418604651,0.078,0.179,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0540512608515916,0.063,0.204,1,0,0,
"QF_NIA_small\167.smt2",0,0.0645998023715415,0.063,0.154,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0926741595787768,0.109,0.197,1,0,0,
"QF_NIA_small\1689.smt2",0,26.9715660009742,26.469,27.541,1,0,0,
"QF_NIA_small\1693.smt2",0,0.08171875,0.094,0.192,1,0,0,
"QF_NIA_small\1728.smt2",0,0.104337665298678,0.109,0.238,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0721259929390997,0.078,0.188,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0803790983606557,0.094,0.203,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0414991536182818,0.047,0.166,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0672029194078947,0.078,0.181,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0564550949913644,0.063,0.173,1,0,0,
"QF_NIA_small\177.smt2",,919.964819700968,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0513147566718995,0.063,0.204,1,0,0,
"QF_NIA_small\1776.smt2",0,0.054185661002901,0.063,0.182,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0544338051623647,0.063,0.178,1,0,0,
"QF_NIA_small\179.smt2",0,0.0664380081300813,0.078,0.195,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0634216142801707,0.078,0.223,1,0,0,
"QF_NIA_small\1805.smt2",0,0.331772595456743,0.328,0.558,0,1,0,
"QF_NIA_small\1809.smt2",0,0.635394168466523,0.703,0.894,0,1,0,
"QF_NIA_small\181.smt2",,900.947459086994,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,893.635198633063,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,866.611433305717,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,861.259777686291,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.059297052154195,0.063,0.124,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0922259169689641,0.109,0.18,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0843330753353973,0.078,0.189,1,0,0,
"QF_NIA_small\187.smt2",0,0.0626677530674847,0.078,0.241,1,0,0,
"QF_NIA_small\1884.smt2",0,0.191061860691671,0.188,0.297,1,0,0,
"QF_NIA_small\1895.smt2",0,73.5646168041685,80.984,84.264,1,0,0,
