,"mathsat","{0}",,,,,,
,"RV 11617","T_norm 11617","T_cpu 11617","T_wc 11617","# SAT 11617","# UNSAT 11617","# UNKNOWN 11617",
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25888_terminationG_0.smt2",,526.289308176101,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25891_terminationG_0.smt2",0,47.9765921552087,54.375,57.799,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25892_terminationG_0.smt2",,534.810396250532,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25893_terminationG_0.smt2",,511.491442542787,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25896_terminationG_0.smt2",0,29.9925912633306,34.953,36.744,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25897_terminationG_0.smt2",,511.491442542787,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25898_terminationG_0.smt2",,537.328767123287,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25901_terminationG_0.smt2",0,29.2875716625717,34.188,35.666,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25902_terminationG_0.smt2",,515.270935960591,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25903_terminationG_0.smt2",,537.098844672657,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25905_terminationG_0.smt2",0,174.065864556417,193.203,200.951,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25907_terminationG_0.smt2",,513.794514940647,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25908_terminationG_0.smt2",,508.178137651822,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25911_terminationG_0.smt2",0,34.478595890411,40.906,43.485,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25912_terminationG_0.smt2",,527.394957983193,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25913_terminationG_0.smt2",,546.689895470383,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25916_terminationG_0.smt2",0,37.7835767174003,43.906,46.005,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25917_terminationG_0.smt2",,573.674588665448,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25918_terminationG_0.smt2",,503.08617234469,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25922_terminationG_0.smt2",0,29.9158644496305,36.766,38.873,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25923_terminationG_0.smt2",,509.82940698619,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25924_terminationG_0.smt2",,522.782174094127,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25927_terminationG_0.smt2",0,33.3150087260035,36.5,38.726,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25928_terminationG_0.smt2",,524.091858037578,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25929_terminationG_0.smt2",,530.515638207946,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25932_terminationG_0.smt2",0,46.6678155637255,54.609,57.135,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25933_terminationG_0.smt2",,521.912681912682,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25934_terminationG_0.smt2",,534.58262350937,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25937_terminationG_0.smt2",0,41.4863641234462,46.266,49.049,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25938_terminationG_0.smt2",,550.284962735642,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25939_terminationG_0.smt2",,503.287890938252,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25942_terminationG_0.smt2",0,46.2577232331782,52.25,55.629,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25943_terminationG_0.smt2",,520.613853172957,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25944_terminationG_0.smt2",,523.218007503127,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25947_terminationG_0.smt2",0,36.0370564194578,43.203,44.986,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25948_terminationG_0.smt2",,538.019717102443,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25949_terminationG_0.smt2",,647.678018575854,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25952_terminationG_0.smt2",0,40.0280980603448,44.391,46.916,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25953_terminationG_0.smt2",,523.218007503127,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25954_terminationG_0.smt2",,527.616645649433,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25957_terminationG_0.smt2",0,57.1832097887896,67.297,69.964,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25958_terminationG_0.smt2",,528.950695322377,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25959_terminationG_0.smt2",,530.515638207946,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25962_terminationG_0.smt2",0,34.5277053794829,39.578,41.228,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25963_terminationG_0.smt2",,515.270935960591,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25964_terminationG_0.smt2",,502.280912364946,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25968_terminationG_0.smt2",0,44.6084915839447,49.406,51.453,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25969_terminationG_0.smt2",,520.829875518672,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25970_terminationG_0.smt2",,531.414055884844,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25973_terminationG_0.smt2",0,40.963018292683,40.141,41.794,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25974_terminationG_0.smt2",,563.375224416517,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25975_terminationG_0.smt2",,527.838519764508,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25978_terminationG_0.smt2",0,46.3152332361516,53.156,55.349,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25979_terminationG_0.smt2",,521.262458471761,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25980_terminationG_0.smt2",,486.323130569546,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25983_terminationG_0.smt2",0,53.7793083543241,61.234,63.728,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25984_terminationG_0.smt2",,540.103270223752,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25985_terminationG_0.smt2",,538.943752683555,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25988_terminationG_0.smt2",0,42.7548056499575,48.109,50.744,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25989_terminationG_0.smt2",,513.794514940647,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25990_terminationG_0.smt2",,514.426229508197,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25992_terminationG_0.smt2",0,37.4329221491228,40.797,42.425,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25994_terminationG_0.smt2",,541.735002157963,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25995_terminationG_0.smt2",,499.085487077535,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__terminationQ_27_0.smt2",0,21.5338574097136,24.797,26.729,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__terminationS_0_0.smt2",0,9.72291076487252,11.484,12.015,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3a.c__p26008_terminationG_0.smt2",0,8.17533912674862,9.219,10.282,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3a.c__p26009_terminationG_0.smt2",0,1.04487041036717,1.156,2.076,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3a.c__p26013_terminationG_0.smt2",0,13.8234843683988,15.641,16.482,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3a.c__p26014_terminationG_0.smt2",0,74.9486850720209,82.078,85.511,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3a.c__terminationQ_1_0.smt2",0,1.6051227627352,1.672,2.507,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26023_terminationG_0.smt2",0,0.0922259169689641,0.109,0.216,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26031_terminationG_0.smt2",0,0.476371624517788,0.531,1.662,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26032_terminationG_0.smt2",,540.568475452196,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26033_terminationG_0.smt2",,541.735002157963,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26036_terminationG_0.smt2",0,0.498845381526104,0.594,1.757,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26037_terminationG_0.smt2",,546.689895470383,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26038_terminationG_0.smt2",,531.189166314008,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26041_terminationG_0.smt2",0,1.26408154686843,1.438,1.622,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26042_terminationG_0.smt2",,509.622411693057,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26043_terminationG_0.smt2",,548.361730013106,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26046_terminationG_0.smt2",0,0.751436781609195,0.688,0.79,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26047_terminationG_0.smt2",,517.181705809642,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26048_terminationG_0.smt2",,526.731011330256,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__terminationQ_3_0.smt2",0,0.0787018459069021,0.094,1.274,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Swingers.c__p26084_terminationG_0.smt2",0,1.19484334203655,1.313,2.234,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Swingers.c__p26085_terminationG_0.smt2",0,251.783970276009,283.438,295.181,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Swingers.c__p26089_edge_closing_0.smt2",0,0.0553556308213379,0.063,0.86,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Toulouse-BranchesToLoop_true-termination.c__p26120_terminationG_0.smt2",0,0.607625686523025,0.688,1.106,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Toulouse-BranchesToLoop_true-termination.c__p26125_terminationG_0.smt2",0,0.0814134495641345,0.094,0.241,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Toulouse-MultiBranchesToLoop_true-termination.c__p26134_terminationG_0.smt2",,555.398230088495,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Toulouse-MultiBranchesToLoop_true-termination.c__p26139_terminationG_0.smt2",0,0.0679573804573805,0.078,1.41,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__TrueDiv.c__p26151_terminationG_0.smt2",0,0.158677184466019,0.172,0.279,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__TrueDiv.c__p26152_terminationG_0.smt2",,537.098844672657,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__TrueDiv.c__p26153_terminationG_0.smt2",,655.799373040752,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__TrueDiv.c__p26156_terminationG_0.smt2",0,0.270392922794118,0.281,0.384,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__TrueDiv.c__p26157_terminationG_0.smt2",,517.821782178218,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__TrueDiv.c__p26158_terminationG_0.smt2",,515.906288532676,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__TwoFloatInterv.c__p26170_safety_0.smt2",0,0.286134847853272,0.328,0.937,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__TwoFloatInterv.c__p26181_edge_closing_0.smt2",0,5.51618629908103,6.313,7.273,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__p26197_terminationG_0.smt2",0,0.357318539571491,0.391,0.502,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__p26198_terminationG_0.smt2",0,1.37284754304914,1.563,2.39,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__p26202_terminationG_0.smt2",,535.038363171355,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__p26203_terminationG_0.smt2",,530.067567567568,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__p26206_edge_closing_0.smt2",,516.330728095434,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__p26207_edge_closing_0.smt2",,550.043821209466,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__p26213_edge_closing_0.smt2",0,7.49244947175012,7.797,8.95,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__p26214_edge_closing_0.smt2",,552.221733391993,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDown.c__terminationS_3_0.smt2",0,10.7554118002416,12.766,14.066,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26230_terminationG_0.smt2",0,93.2982022200772,92.406,96.193,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26231_terminationG_0.smt2",0,0.969088235294117,0.984,1.864,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26235_terminationG_0.smt2",,523.436196830692,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26236_terminationG_0.smt2",,521.046077210461,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26239_edge_closing_0.smt2",0,0.124497460854846,0.141,0.265,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26240_edge_closing_0.smt2",0,0.346119229140195,0.391,1.343,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26246_edge_closing_0.smt2",,512.117503059976,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26247_edge_closing_0.smt2",0,0.425030475416498,0.5,0.664,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Urban-WST2013-Fig1_false-termination.c__p26265_safety_0.smt2",0,12.1132141051567,11.453,11.98,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Urban-WST2013-Fig1_false-termination.c__p26266_safety_0.smt2",,511.699959233591,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Urban-WST2013-Fig2_true-termination.c__term_unfeasibility_0_0.smt2",0,0.28447472026523,0.328,0.461,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Urban-WST2013-Fig2-modified1000_true-termination.c__term_unfeasibility_0_0.smt2",0,0.121464698596202,0.141,0.261,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Velroyen_false-termination.c__p26291_terminationG_0.smt2",0,0.754874727668846,0.828,0.952,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Velroyen_false-termination.c__p26301_terminationG_0.smt2",0,0.127796481320591,0.141,0.27,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Velroyen_false-termination.c__p26334_terminationG_0.smt2",0,12.1548056722689,13.828,15.147,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Velroyen_false-termination.c__p26335_terminationG_0.smt2",,503.287890938252,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Velroyen_false-termination.c__p26336_terminationG_0.smt2",,599.426934097421,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Velroyen_false-termination.c__terminationQ_0_0.smt2",0,1.04124004550626,1.313,1.498,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Velroyen_false-termination.c__terminationS_0_0.smt2",0,3.03117167919799,3.469,3.591,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Velroyen_false-termination.c__terminationS_1_0.smt2",0,1.52332861498258,1.672,1.842,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncr.c__p26374_terminationG_0.smt2",0,0.13662486938349,0.125,0.249,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncr.c__p26375_terminationG_0.smt2",,513.584288052373,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncr.c__p26376_terminationG_0.smt2",,505.925030229746,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncr.c__p26380_terminationG_0.smt2",0,0.35558521353747,0.422,0.585,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncr.c__p26381_terminationG_0.smt2",,536.181119179838,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncr.c__p26382_terminationG_0.smt2",,535.952177625961,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncrPart.c__p26407_terminationG_0.smt2",0,0.433781035958904,0.484,1.585,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncrPart.c__p26408_terminationG_0.smt2",,516.330728095434,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncrPart.c__p26409_terminationG_0.smt2",,541.735002157963,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncrPart.c__p26412_terminationG_0.smt2",0,0.322113324764353,0.359,0.49,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncrPart.c__p26413_terminationG_0.smt2",,546.928104575164,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileIncrPart.c__p26414_terminationG_0.smt2",,562.617660242044,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNested.c__p26429_terminationG_0.smt2",0,0.195014915098669,0.203,0.912,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNested.c__p26430_terminationG_0.smt2",0,270.406640930414,330.641,343.83,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNested.c__p26431_terminationG_0.smt2",,527.838519764508,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNested.c__p26434_terminationG_0.smt2",0,0.4564906898011,0.516,1.457,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNested.c__p26435_terminationG_0.smt2",,538.481338481338,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNested.c__p26436_terminationG_0.smt2",,535.952177625961,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNested.c__terminationQ_1_0.smt2",0,0.405887831125828,0.469,0.575,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNestedOffset.c__p26451_terminationG_0.smt2",0,0.538509060955519,0.625,0.784,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNestedOffset.c__p26452_terminationG_0.smt2",0,373.38798559581,408.906,425.544,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNestedOffset.c__p26453_terminationG_0.smt2",,548.84127678181,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNestedOffset.c__p26456_terminationG_0.smt2",0,0.439470329160871,0.453,1.288,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNestedOffset.c__p26457_terminationG_0.smt2",,550.043821209466,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNestedOffset.c__p26458_terminationG_0.smt2",,511.074918566775,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileNestedOffset.c__terminationQ_1_0.smt2",0,0.46172621520565,0.531,1.702,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhilePart.c__p26472_safety_0.smt2",,474.37641723356,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhilePart.c__p26473_safety_0.smt2",,520.613853172957,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__WhileSingle.c__p26489_edge_closing_0.smt2",0,0.139570879590094,0.156,0.28,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26532_terminationG_0.smt2",0,4.5310906351414,4.672,4.933,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26535_terminationG_0.smt2",0,0.0543433083956775,0.063,0.193,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26536_terminationG_0.smt2",,542.437337942956,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26537_terminationG_0.smt2",,520.829875518672,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26540_terminationG_0.smt2",0,0.0814472591362126,0.094,0.534,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26541_terminationG_0.smt2",,531.639135959339,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26542_terminationG_0.smt2",,515.270935960591,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26545_terminationG_0.smt2",0,0.065375,0.078,1.07,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26546_terminationG_0.smt2",,518.03549319026,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26547_terminationG_0.smt2",,538.712446351931,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26550_terminationG_0.smt2",0,0.069815249893208,0.078,1.371,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26551_terminationG_0.smt2",,526.510067114094,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26552_terminationG_0.smt2",,527.173456530869,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26555_terminationG_0.smt2",0,0.0693119168787108,0.078,1.499,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26556_terminationG_0.smt2",,524.749163879599,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26557_terminationG_0.smt2",,455.938975662913,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__2Nested_false-termination.c__p26568_edge_closing_0.smt2",0,0.163573811509591,0.188,1.39,1,0,0,
