,"smt.arith.gomory_use_big_cuts=false","-file:{0} smt.arith.gomory_use_big_cuts=false",,,,,,
,"RV 11689","T_norm 11689","T_cpu 11689","T_wc 11689","# SAT 11689","# UNSAT 11689","# UNKNOWN 11689",
"QF_NIA_small\1567.smt2",0,0.0938140631406314,0.109,0.133,1,0,0,
"QF_NIA_small\1574.smt2",0,99.1156119246862,113.234,117.791,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0602534562211982,0.063,0.144,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0889455782312925,0.094,0.209,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0542306097055164,0.063,0.207,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0719038715354157,0.078,0.186,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0804450369155045,0.094,0.181,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0868358633776091,0.109,0.195,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0983575727181545,0.094,0.174,1,0,0,
"QF_NIA_small\1648.smt2",0,1.66477524357839,1.797,2.001,0,1,0,
"QF_NIA_small\1649.smt2",0,0.958407374500222,1.031,1.241,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0695478723404255,0.078,0.185,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0659820347194187,0.078,0.193,1,0,0,
"QF_NIA_small\167.smt2",0,0.0572460595446585,0.063,0.174,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0886240397650249,0.094,0.206,1,0,0,
"QF_NIA_small\1689.smt2",0,24.2242925579323,25.984,27.052,1,0,0,
"QF_NIA_small\1693.smt2",0,0.0721259929390997,0.078,0.193,1,0,0,
"QF_NIA_small\1728.smt2",0,0.1025145609319,0.109,0.193,1,0,0,
"QF_NIA_small\1734.smt2",0,0.044112685560054,0.047,0.172,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0919479606188467,0.094,0.179,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0719038715354157,0.078,0.16,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0539175257731959,0.063,0.168,1,0,0,
