,"cvc5","{0}",,,,,,
,"RV 11615","T_norm 11615","T_cpu 11615","T_wc 11615","# SAT 11615","# UNSAT 11615","# UNKNOWN 11615",
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20324_terminationG_0.smt2",,532.089868588385,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20325_terminationG_0.smt2",,544.08322496749,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20326_terminationG_0.smt2",,538.019717102443,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_0_0.smt2",0,1.04511989903239,1.188,1.227,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_2_0.smt2",,543.847487001733,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_3_0.smt2",0,2.55392781316348,2.875,2.989,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_4_0.smt2",0,1.75409923339012,1.969,2.005,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20348_terminationG_0.smt2",,568.478260869565,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20349_terminationG_0.smt2",,528.282828282829,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20354_terminationG_0.smt2",,516.968698517298,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20359_terminationG_0.smt2",0,4.66562768701634,5.188,5.421,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20363_terminationG_0.smt2",0,64.7569295229909,72.031,74.893,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20364_terminationG_0.smt2",,535.952177625961,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20368_terminationG_0.smt2",,539.638865004299,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__aaron3_true-termination.c__p20369_terminationG_0.smt2",,535.038363171355,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c__term_unfeasibility_0_0.smt2",0,0.140833692373977,0.156,0.189,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20394_terminationG_0.smt2",0,1.72039473684211,1.953,2.009,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20395_terminationG_0.smt2",0,30.6811061381074,34.406,35.78,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c__p20396_terminationG_0.smt2",,530.739957716702,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c__p20413_terminationG_0.smt2",,531.414055884843,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c__p20426_terminationG_0.smt2",,534.810396250533,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c__terminationS_1_0.smt2",0,0.825936830835118,0.922,0.973,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c__p20439_terminationG_0.smt2",0,39.1231609692774,43.219,44.914,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c__p20440_terminationG_0.smt2",,544.08322496749,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c__term_unfeasibility_0_0.smt2",0,0.209177687713311,0.234,0.283,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c__p20452_terminationG_0.smt2",0,33.9270345121432,38.063,39.557,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c__p20453_terminationG_0.smt2",,542.906574394464,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c__p20494_terminationG_0.smt2",0,1.17830258693808,1.328,1.381,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c__p20516_terminationG_0.smt2",,538.019717102443,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20546_terminationG_0.smt2",,534.127659574468,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20552_terminationG_0.smt2",,530.291508238276,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20553_terminationG_0.smt2",,532.541366143403,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20556_edge_closing_0.smt2",,572.366621067031,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20557_edge_closing_0.smt2",,531.639135959339,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20618_terminationG_0.smt2",,582.45939675174,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20619_terminationG_0.smt2",,533.446663833404,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20626_edge_closing_0.smt2",,540.335772707706,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20627_edge_closing_0.smt2",,538.019717102443,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20638_terminationG_0.smt2",0,1.97145191902151,2.234,2.306,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20639_terminationG_0.smt2",,538.943752683555,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20650_terminationG_0.smt2",0,0.983811996608733,1.109,1.168,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20651_terminationG_0.smt2",,534.58262350937,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20652_terminationG_0.smt2",,578.433179723502,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20655_terminationG_0.smt2",,534.810396250533,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20656_terminationG_0.smt2",,530.739957716702,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20657_terminationG_0.smt2",,534.127659574468,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20661_edge_closing_0.smt2",,536.869118905047,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20662_edge_closing_0.smt2",,536.869118905047,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20668_edge_closing_0.smt2",,538.712446351931,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20669_edge_closing_0.smt2",,524.529878813205,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__terminationQ_1_0.smt2",0,0.50838062211013,0.578,0.616,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20685_terminationG_0.smt2",,531.864406779661,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20688_terminationG_0.smt2",0,4.41198005093379,4.969,5.161,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20689_terminationG_0.smt2",0,41.111247859589,45.906,47.705,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20690_terminationG_0.smt2",,541.034482758621,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20693_edge_closing_0.smt2",,537.558886509636,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20694_edge_closing_0.smt2",,536.869118905047,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__terminationS_1_0.smt2",,537.558886509636,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Benghazi_true-termination.c__p20729_terminationG_0.smt2",,530.739957716702,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1_true-termination.c__p20785_terminationG_0.smt2",0,0.765026595744681,0.859,0.89,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1_true-termination.c__p20786_terminationG_0.smt2",,541.267787839586,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20762_terminationG_0.smt2",,539.870967741935,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20763_terminationG_0.smt2",,536.181119179838,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20774_edge_closing_0.smt2",,537.098844672657,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20777_edge_closing_0.smt2",,533.673469387755,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-ICALP2005-Fig1_true-termination.c__p20810_terminationG_0.smt2",,536.181119179838,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-ICALP2005-Fig1_true-termination.c__p20814_terminationG_0.smt2",0,0.965512628424657,1.078,1.141,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c__p20828_terminationG_0.smt2",0,414.957394437678,488.547,507.925,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c__p20837_terminationG_0.smt2",0,0.254928509532062,0.281,0.324,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20849_terminationG_0.smt2",0,8.09165599658557,9.063,9.394,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20853_terminationG_0.smt2",0,0.433224668661821,0.484,0.525,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20854_terminationG_0.smt2",,528.950695322377,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20855_terminationG_0.smt2",,536.869118905047,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20858_terminationG_0.smt2",0,0.459994669509595,0.516,0.56,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20859_terminationG_0.smt2",,537.558886509636,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20860_terminationG_0.smt2",,538.481338481339,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20863_terminationG_0.smt2",0,0.473530038346826,0.531,0.696,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20864_terminationG_0.smt2",,536.410256410256,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20865_terminationG_0.smt2",,531.414055884843,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20868_terminationG_0.smt2",0,0.39949803579223,0.438,0.601,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20869_terminationG_0.smt2",,537.098844672657,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20870_terminationG_0.smt2",,538.481338481339,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20873_terminationG_0.smt2",0,0.392979819665092,0.438,0.488,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20874_terminationG_0.smt2",,540.103270223752,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20875_terminationG_0.smt2",,535.266524520256,600,600,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c__p20888_terminationG_0.smt2",0,18.3712025316456,20.813,21.63,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c__p20892_terminationG_0.smt2",0,35.8687314067148,40.344,41.946,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c__p20893_terminationG_0.smt2",0,24.7271160373356,27.859,28.934,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c__p20918_terminationG_0.smt2",0,0.458041401273885,0.516,0.543,0,1,0,
