path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10 result,hybrid-10 time,hybrid-10 memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00376.smt2,SAT,18,19340,SAT,28,51330
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00212.smt2,SAT,17,19080,SAT,36,51860
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01797.smt2,SAT,38,20680,SAT,55,53430
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05346.smt2,SAT,13,18790,SAT,32,51470
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04078.smt2,SAT,18,18850,SAT,25,51640
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08650.smt2,UNSAT,48,20900,UNSAT,63,53910
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02754.smt2,SAT,49,21860,SAT,64,54560
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01280.smt2,SAT,20,19190,SAT,42,52000
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07273.smt2,SAT,25,19460,SAT,35,51670
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12849.smt2,UNSAT,18,17900,UNSAT,16,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09876.smt2,SAT,53,21170,SAT,67,53950
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15530.smt2,UNSAT,17,18000,UNSAT,11,18020
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14236.smt2,UNSAT,51,21110,UNSAT,58,54080
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04440.smt2,SAT,40,20460,SAT,51,53360
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12435.smt2,UNSAT,28,20150,UNSAT,34,20170
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10173.smt2,SAT,64,21590,SAT,77,53820
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04688.smt2,SAT,46,21470,SAT,45,54290
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12551.smt2,SAT,24,19320,SAT,27,51870
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10818.smt2,UNSAT,20,19720,UNSAT,44,52690
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08734.smt2,SAT,65,24440,SAT,72,57410
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05222.smt2,SAT,25,20000,SAT,45,52800
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06029.smt2,UNSAT,31,20420,UNSAT,45,53440
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15143.smt2,SAT,67,23090,SAT,73,55860
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01514.smt2,SAT,48,22600,SAT,57,55210
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10464.smt2,UNSAT,33,20180,UNSAT,49,53070
