path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_iprotocol.3.prop1_ab_cti_max.smt2,SAT,51,20370,SAT,59,54310
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_iprotocol.5.prop1_ab_cti_max.smt2,SAT,50,20500,SAT,61,54370
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_leader_filters.6.prop1_ab_reg_max.smt2,UNSAT,60,20510,UNSAT,55,20540
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.6.prop1_ab_reg_max.smt2,UNSAT,56,20500,UNSAT,64,52910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.4.prop1_ab_cti_max.smt2,SAT,56,20440,SAT,67,54800
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_gear.1.prop4_ab_reg_max.smt2,UNSAT,57,20560,UNSAT,56,20580
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_szymanski.2.prop1_ab_reg_max.smt2,UNSAT,58,20930,UNSAT,69,53000
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_mcs.4.prop1_ab_reg_max.smt2,UNSAT,51,20390,UNSAT,47,20420
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cambridge.3.prop2_ab_reg_max.smt2,UNSAT,49,20380,UNSAT,55,20410
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cache_coherence_two_ab_reg_max.smt2,UNSAT,16,18200,UNSAT,15,18200
